timestamp,query,summary
1624108217.0,"[[""yellow"", 1.0]]",EURO 2020 #HUNFRA reference should give 2 yellow cards - Varane and Pavard! Pavard is gonna get cooked after that yellow on that flank. First yellow of the match to Paward ! #HUNFRA. First yellow card.. it’s been coming for a while to be fair EURO 2020 #HUNFRA. Pavard yellow hmmm.
1624108424.0,"[[""offsid"", 0.8009360076964174], [""save"", 0.4125761588368204], [""anyway"", 0.3575452694268919], [""doubl"", 0.2458532184967899]]","Griezmann what are you doing?? He had the entire goal and he kicks it right back into the keeper. Maybe offsides anyways. That finish by Griezmann was shockingly bad, idc if he was offside or not. Griezmann 😭🤣. Offside or no offside that should have been behind the net ffs."
1624108646.0,"[[""mbapp"", 0.7071067811865475], [""header"", 0.7071067811865475]]",Mbappe with another free header wa o. What a ball from Lucas Digne Mbappe header just wide #HUN #FRA. Free header by Mbappe. Missed.. EURO 2020. Digne and Mbappe link up. Mbappe I NEED a goal. 8 yards out free header 200 mill mbappe get fucked. Mbappe should have scored.
1624109211.0,"[[""freekick"", 0.7071067811865476], [""free"", 0.5070410979393628], [""kick"", 0.49285832142761427]]",Why is mbappe taking free kicks? 😭. Thats the first time ive ever seen Mbappe take a freekick. Get pogna on freekicks why is mbappe taking them. Imagine getting subbed on and taking an Mbappe freekick to the dome 20 seconds later. I'd retire. Why is Mbappe on free kick duty 😭.
1624109485.0,"[[""assist"", 0.5149113634503429], [""rob"", 0.33396548110857854], [""ff"", 0.33008996185357414], [""touch"", 0.33008996185357414], [""miss"", 0.33008996185357414], [""though"", 0.33008996185357414], [""benzema"", 0.31729021576622735], [""target"", 0.2324740807460136], [""hit"", 0.18104843084645952]]","Why is Giroud not warming up? Get Benzema out ffs. The ball from Griezmann to start it off though, even better. Benzema had to mess it all up though... That was easier to score than to miss and Benzema still missed it 😂. Mbappe was robbed of what been the best assist in the euros."
1624109620.0,"[[""ff"", 0.8944271909999159], [""wouldv"", 0.4472135954999579]]","Waiting for the “Giroud would’ve scored this” tweets. Bring on giroud ffs. These lot struggling to score against hungry. Mbappe is so good ffs. Benzema reeks for France man, get Giroud on ffs. Benzema has been awful, again. FFS. Benzema is having a mare this half ffs."
1624110430.0,"[[""wow"", 0.5000000000000001], [""lead"", 0.5000000000000001], [""ff"", 0.5000000000000001], [""near"", 0.3509515408146967], [""llori"", 0.2935497655687472], [""post"", 0.20164709552662516]]","Wow. Hungary have just taken the lead against France. 🤯 1-0. Euro 2020. And #Hun take the lead here. 1-0. The atmosphere right now in the crowd. 🔥. Lloris shouldn’t be getting beaten at his near post like that. Hungary lead the world champions! 60,000 fans go mad in Budapest!"
1624110553.0,"[[""conced"", 0.5773502691896256], [""yellow"", 0.5773502691896256], [""dribbl"", 0.49318851118230156], [""kant"", 0.30016399812622124]]","Hungary should attack that Pavard side, he is on a yellow. France conceded 🤦‍♂️#HUNFRA. We have a game boi. Pavard on yellow cannot make any challenge. Varane should have had a yellow card early in the match too. not a good match from him. Kante trying to dribble 😭."
1624110950.0,"[[""troll"", 0.7071067811865475], [""tudn"", 0.5120557829379555], [""usa"", 0.4876462602745941]]",Troll Football Giroud is clear tho 💯. B/R Football TUDN USA Kimpembe needed to come across ffs. B/R Football TUDN USA wtf was Pavard doing there. B/R Football TUDN USA The atmosphere inside the Puskas Arena is lethal🔥👌👏. Troll Football Giroud is better than Benzema in France.
1624111598.0,"[[""celebr"", 1.0]]",The UEFA official loving the Hungary goal celebrations there... #HUNFRA. Best celebration #HUNFRA. #HUN Goal Celebration 😳😂. Well she wasn’t expecting that goal celebration 😂 #HUNFRA. The goal celebration though🔥🔥#HUNFRA. That goal celebration for Hungary😂#HUNFRA EURO 2020.
1624111823.0,"[[""pogba"", 1.0]]",BEST PLAYER IN FRANCE HISTORY POGBA. Pogba is some player. Pogba balling again. Pogba and Mbappe are balling. Pogba for France is a different player ❄️ ❄️. Pogba is such a lovely player for France yc.
1624112184.0,"[[""rabiot"", 1.0]]","Take off Rabiot and F1. They need to take Rabiot off, e no sabi. Take Rabiot off. Big fool. Rabiot is not great at football. How is Rabiot a professional Player?? Rabiot is such a waste of a player. Rabiot needs to come off NOW! Rabiot is stealing a living. Rabiot out France win."
1624112288.0,"[[""sub"", 0.697559073742398], [""deschamp"", 0.5398683058642221], [""dembooti"", 0.4711194657015803]]",Does Deschamps know he can make 5 subs ? #FRA EURO 2020. Deschamps making an attacking sub? Wow. France need a goal and Deschamps subs on Dembooty 💀. Good sub that #HUNFRA.
1624112420.0,"[[""ousman"", 0.8746014807822551], [""dembel"", 0.484842500007463]]",Have always liked Ousmane Dembele. What a player. France needs goals and they bring on Ousmane Dembele???? An injury free season for Ousmane Dembele 🕯🙏🏿. Ousmane dembele gonna save these lot. Ousmane Dembele agains the post. Ousmane Dembele fake shot so OP.
1624112735.0,"[[""ff"", 0.4472135954999579], [""assist"", 0.4472135954999579], [""equalis"", 0.4472135954999579], [""llori"", 0.4472135954999579], [""duboi"", 0.3176451779414476], [""clear"", 0.3148039722280296]]",Dubois Giroud is miles clear of that sex tape fraud. Griezmann how you celebrating like that 😂😂😂😂 it’s a equaliser. Lloris just set up a goal in a critical situation? That is not Lloris im sorry. Can't believe that's not gone down as an mbappe assist.
1624112825.0,"[[""griezmann"", 0.5188924029201677], [""griezman"", 0.41679523399596663], [""bounc"", 0.41679523399596663], [""poor"", 0.3460030290977338], [""equal"", 0.2898110095800789], [""antoin"", 0.2729714966998814], [""defend"", 0.23237936856989985], [""level"", 0.2260354256794247]]","See what happens when Mbappe can pass the ball!!! Griezman. Antoine Griezmann scores and it’s 1-1. France 🇫🇷 back in the game. EURO 2020 #France. Defenders dem fe neva mek that ball bounce from LLoris kicked it out, poor defending. Griezmann scores but the goal is not nice 😐."
