timestamp,query,summary
1595775739.0,"[[""dive"", 0.5773502691896257], [""touch"", 0.5773502691896257], [""red"", 0.48128299620190523], [""build"", 0.31890439147219385]]","Top 3, come on you reds Manchester United #LEIMUN. Martial isn't it too early for a dive? Can’t believe greenwood made that touch under pressure. wow. Greenwoods touch in his own box there 😳😍 #LEIMUN. The natural ability of Greenwood with that touch 😳🔥 #LEIMUN."
1595776172.0,"[[""yellow"", 0.5], [""tackl"", 0.5], [""card"", 0.5], [""book"", 0.5]]",But maguire too how you fit tackle like that so early. Maguire you know better than that lad a yellow card 10 mins in come on man. Maguire getting booked in the first 10 minutes... stupid challenge what is he thinking. Maguire own goal then red card is gonna be unbelievably funny.
1595776311.0,"[[""pass"", 1.0]]",Rashford’s passing has improved since the restart. That new Rashford signature pass 👌🏾. Rashford what a pass. That was a top top pass from Rashford. Great run by Greenwood. That rashford pass is getting clipped😭. Good pass rashford... you take my note very quick... keep passing.
1595776875.0,"[[""ff"", 1.0]]",What is matic doing ffs. I hate you maguire ffs. Maguire ffs 💔😭 #MUFC #LEIMUN. Maguire should calm the F down ffs. Maguire has been sooo bad ffs. Maguire is going to let us concede ffs. There’s definitely a Maguire mistake coming ffs. Ffs close them down #LEIMUN.
1595776978.0,"[[""touch"", 1.0]]",Greenwood’s first touch is crazy good. Greenwood’s touch wtf. Bruh Greenwood's touch. Martial one touch now. That Greenwood touch was orgasmic. That touch from greenwood tho 😍. Greenwood is something else! That touch 😍. That touch from Greenwood 😳 #LEIMUN.
1595777179.0,"[[""offsid"", 0.8164965809277261], [""spill"", 0.4082482904638631], [""fumbl"", 0.4082482904638631]]",Iheanacho should have given vardy but he was offside anyways. De Gea is finished. How can he have a go at Vardy there when he fumbled a weak as piss shot 😂😂. Ffs De Gea what if that wasn't offside how can you be spilling that 🤦‍♂️. What a pass that was pogba shame it was offside.
1595777368.0,"[[""yellow"", 0.7071067811865475], [""card"", 0.7071067811865475]]","Should be yellow for Vardy, should be. That early yellow card to Maguire is very important to this game. Nice. To bet Maguire Red Card 🤔? Cos Red Card dey smell for him body today. Which other defenders do we have on the bench.. Maguire is opened for business and on a yellow card."
1595777631.0,"[[""boot"", 0.531752497752124], [""aubameyang"", 0.46863373827024074], [""net"", 0.42890437633511097], [""offsid"", 0.3198243697331841], [""golden"", 0.29957904877347763], [""auba"", 0.28717276429063116], [""laca"", 0.1978871040776886]]","Fernandes has the ball in the net, but he's way offside so it remains 0-0. 32 minutes played... 1 more goal for Aubameyang to be tied with Vardy for the golden boot. Ellie Aight I take it back don’t let vardy score aubameyang needs golden boot."
1595778102.0,"[[""ff"", 0.7071067811865475], [""take"", 0.7071067811865475]]","Need a wolves and Leicester win ffssss come on lads. Ffs Maguire did well there, Vardy was gonna score that. That was a chance for Rashford. Should be taking that. Please take out Rashford at halftime 😡😡😡 #LEIMUN. Rashford ffs man what was that man 🤦‍♂️. #MUFC."
1595778478.0,"[[""save"", 1.0]]",Schmeichel is a beast. Excellent save! Greenwood will save the day. What a save! Leicester 💙. #LEIMUN EPLFinal Day. What a save ! (Leicester) What an incredible save by Schmeichel! Schmeichel with a save. Good save that from kasper #LEIMUN. Only Ighalo can save you 😭😂.
