timestamp,query,summary
1623676625.0,"[[""save"", 0.6626385616258341], [""marshal"", 0.5867136617440293], [""david"", 0.4654859995417247]]",David Marshall Save bc😳🔥. Great save from David Marshall as Czech Republic nearly take the lead after McGinn was caught in possession #SCOCZE #SCO #CZE #Scotland EURO 2020. Good save by Marshall.. #SCOCZE EURO 2020. David Marshall what a save. Wigan’s finest.
1623676968.0,"[[""donnel"", 0.6063338163622612], [""stephen"", 0.5713622705787287], [""defend"", 0.5530863032969588]]",Good defending by o'donnell there for the czechs 😭😭. Great defending from Stephen O'Donnell of the Czech Republic. Stephen O'Donnell defending brilliantly against Ryan Christie. First time Christie beats a man all season and Stephen O'Donnell tackles him 🤣🤣🤣.
1623677590.0,"[[""save"", 1.0]]",Class save #CZE. It’s a good save. ‘Mon!!!!! #SCO EURO 2020. Fantastic save #Sco #CZE. What a save from Vaclik. What a save that was #SCOCZE. Oh he did hit the target good save euro 2020. Good shot good save 😵. #SCOCZE. Good save Vaclik. What a save by the #CZE keeper!
1623677701.0,"[[""class"", 1.0]]",Do think McTominay is a top class player tbf. Robbo is world class also. Hanley has been class. Andy Robbo Is World Class 🔴 #SCOCZE. Christie's been absolutely Class👏🏻👏🏻. #SCO. Robertson is having a class game #sco. Hanley master class.
1623678154.0,"[[""header"", 0.8164965809277261], [""lead"", 0.4082482904638631], [""schick"", 0.3521855123269182], [""goal"", 0.20647525656526713]]","What a cross, and what a header from Schick 👏🏻. Most goals in the tournament are from header. EURO 2020. That is an absolutely top class header from Schick! #CZE. Schick scores from a header to lead for czech republic against Scotland 1-0."
1623678277.0,"[[""patrick"", 0.7071067811865475], [""half"", 0.4816667160978342], [""adam"", 0.41342467148128376], [""patterson"", 0.3115721675858114]]",Goal for #CZE. Patrick Schick with a lovely header on to the bottom corner! Che Adams on for Armstrong then Patterson on for O’Donnell in this second half. Adams and Patterson must come on at half time. 1-0 Czech Republic. Patrick Schick gives them the lead vs Scotland!.
1623678460.0,"[[""penalti"", 1.0]]",Christie what a run and why no penalty for mctominay. In what universe was that not a penalty for Scotland? Euro 2020. What is the view of “there was contact” brigade on that penalty there most certainly was (lots)? Probably not a penalty because he didn’t dive and roll? #SCOCZE.
1623678603.0,"[[""patterson"", 0.8944271909999159], [""assist"", 0.3810838907363705], [""coufal"", 0.23404074051589827]]",🇨🇿 Vladimir Coufal for club and country this season: 51 appearances. 12 assists. A brilliant assist to give Czech Republic the lead against Scotland.. Scotland National Team Gilmour Patterson on second half please. Adams and Patterson on and the goals will come.
1623679022.0,"[[""second"", 1.0]]",Get Billy Gilmour on second half #SCO. Che Adams is a must in the second half. C'mon Scotland big second half to turn it around #SCO. Bound to see Billy Gilmour in the second half.
1623679483.0,"[[""save"", 0.7614810617041359], [""marshal"", 0.4733105020730313], [""second"", 0.44285862449919294]]",Great save from David Marshall already as Czech Republic look for the second goal. Another good save just after that. Dreadful start for Scotland to the second half. #SCOCZE #SCO #CZE #Scotland EURO 2020. Marshall very busy with two big saves early in this half EURO 2020 #SCO.
