timestamp,query,summary
1623437506.0,"[[""nessun"", 0.539979399598093], [""dorma"", 0.5117122245865761], [""bocelli"", 0.45011322185962427], [""sing"", 0.36889716425279867], [""andrea"", 0.3284597645553147]]","Andrea Bocelli singing “Nessun dorma” in Rome and I’m back in love with football instantly.. 🥰. #ita Italia Turchia Forza Azzurri 🇮🇹 💚🤍❤️. Andrea Bocelli singing Nessun Dorma in Stadio Olimpico to kick things off... Wow, just wow 😍🥰 God I'm excited now Euro 2020."
1623437770.0,"[[""anthem"", 0.71919667513738], [""nation"", 0.4937305616428046], [""italian"", 0.48886222493788456]]",The Italian national anthem is the best hype song 😂 #ITA. The #ita are the best during the national anthems EURO 2020. The Italian players blasting out their national anthem is a thing of beauty. I suppose it’s easy when your anthem is such a banger though #ita #tur.
1623438063.0,"[[""car"", 0.7447267280806763], [""remot"", 0.3571680737513323], [""deliv"", 0.35540567440356047], [""control"", 0.3377060042684884], [""ball"", 0.2783065375764205]]",Insigne was defo driving that car with the ball in 😂. Can some explain to me why there was a modified VW remote control car delivering the ball to the referee? #ITA #TUR. That car must be brought into the premiership -the car presentation of the ball was brilliant 👏🏽👏🏽#TURITA.
1623439124.0,"[[""target"", 0.7904683026741692], [""hit"", 0.6125029489458954]]",Insigne you have to hit the target…. That was a nice move. Insigne has to hit the target at least! Good inter play. Insigne has to hit the target there. Italy cut turkey open with ease though. Chance for Insigne. Should’ve at least hit the target from there.
1623439324.0,"[[""penalti"", 0.7071067811865476], [""header"", 0.620345289039733], [""save"", 0.33936959552412804]]","That should be a penalty , but great skill by immobile. Immobile needed to look up on that run. 100% not a penalty. What a header by Chiellini, but what a save by the goalkeeper. What a piece of play! Lovely header and an even better save #Ita #Tur."
1623439448.0,"[[""offsid"", 0.9040857763613933], [""jermain"", 0.34853323819035026], [""jena"", 0.24729231863841933]]","Jermaine Jenas. “Chiellini left wide open again”. Yes that probably why he was offside 🤷‍♂️🤷‍♂️🤷‍♂️. There's no one marking him because he's a mile offside, Jermaine. #TURITA. Yilmaz is always offside 😭. EURO 2020. Name: Burak Yilmaz. Place of birth: Offside."
1623439691.0,"[[""soyuncu"", 1.0]]","Is soyuncu supposed to be good on the ball. Soyuncu has to stop losing the ball😂. It's good pressing from Italy, but Söyüncü and Demiral not showing what they can do on the ball so far. Soyuncu get out and let my boy Kabak ball."
1623440661.0,"[[""dive"", 0.5], [""spinazzola"", 0.5], [""ref"", 0.5], [""yellow"", 0.5]]","Would like yilmaz to have gotten a yellow for that dive. This Spinazzola is a right player, him and Insigne are dangerous down that left. Wtf is this ref 💀💀 celik was playing basketball in the box. What is a hand ball? Because clearly, this ref doesn’t know. #Ita Euro 2021."
1623440771.0,"[[""handbal"", 0.5773502691896257], [""penalti"", 0.5773502691896257], [""pen"", 0.5773502691896257]]","That's a pen all day long and I'm Turkish 😭😭 #ita #tur. Have they changed the handball rule again, cos that was a penalty a few months ago! #TURITA euro 2020. That is 100% a penalty ! And it had nothing to do with me having Jorginho to score a penalty ! 😅."
1623440921.0,"[[""chiesa"", 0.7425544425916044], [""need"", 0.6697857118418336]]",Chiesa needs to come on. Italy need to bring on chiesa. Get chiesa on i need the fantasy points. Chiesa needs to come on in the second half. Chiesa will need to be introduced in the second half. Chiesa needed. C A R E F R E E Chiesa Needed. Bring on chiesa at the second half pls.
