timestamp,query,summary
1623503841.0,"[[""cross"", 0.7071067811865475], [""keeper"", 0.7071067811865475]]",Dan James with a peach of a cross #WALSUI. Amazing save by the Swiss keeper! #WALSUI. Good cross from Daniel James. What a cross from Dan James and Moore nearly scoring with his head!!! Wales 🏴󠁧󠁢󠁷󠁬󠁳󠁿 coming closes so far. Great cross there by James and unlucky by Moore FA WALES.
1623505669.0,"[[""pen"", 0.6339110433001993], [""goe"", 0.4425572622169886], [""seferov"", 0.3722586718396491], [""worst"", 0.30056751073140014], [""penalti"", 0.2987747353011711], [""feet"", 0.14197873037306624], [""stay"", 0.1361114562715002], [""seen"", 0.1296238587854402], [""ever"", 0.12330686960180373], [""striker"", 0.11586609450379051]]",Embolo could have gotten a penalty had he gone down. Say it every tournament but Seferovic is the worst player in international football. Embolo goes down there it’s a pen. Robbed because he’s stayed on his feet and played the pass. It would have been a penalty and possibly a red.
1623505792.0,"[[""var"", 0.8342973113318425], [""pull"", 0.5513147887590708]]",That much pull on Embolo's shirt deserved at least a check by #var... #WALSUI. How can that level of shirt pulling be watched by VAR and be allowed? #WALSUI. Is there no VAR in the euros? 😂😂#Euros #WALSUI. Why hasn’t VAR intervened there with the shirt pull? EURO 2020 #WALSUI.
1623506858.0,"[[""save"", 0.7135766158483889], [""embolo"", 0.5558056967764038], [""yellow"", 0.32341362186410727], [""danni"", 0.21096504647575498], [""ward"", 0.18106854807911812]]","If that’s a yellow for Moore, there are going to be 12 bookings a game during this tournament #bbcfootball. What a turn from embolo and what a save from ward. Unreal save from Danny ward and then concede, fuck off man. Embolo been best player on the pitch 👏🏻👏🏻rodon been good👀."
1623506965.0,"[[""corner"", 0.6462455019698046], [""header"", 0.3828342465564132], [""deserv"", 0.3411546146803812], [""poor"", 0.3327296193283938], [""defend"", 0.3093419642688373], [""lead"", 0.24462091100252223], [""embolo"", 0.23060220986329483]]","And then scoring from the corner too, written in the stars. Deserved for Embolo after that fantastic play to win the corner. Poor defensively from wales there but a good header by embolo! switzerland get the lead they deserve."
1623507096.0,"[[""half"", 0.6808406684745367], [""assist"", 0.41618547802302697], [""2nd"", 0.4109256038831532], [""second"", 0.33209424134199106], [""shaqiri"", 0.2899986120219261]]",Embolo taking this match over to start the 2nd half. Breel Embolo has come into this second half like a man on a mission.. He’s really up for this.. Euro 2020. Embolo put on a hunter for the second half #SUI. And that's the lead for Switzerland vs Wales. Shaqiri with an assist 🧐.
1623507275.0,"[[""ff"", 1.0]]",Bale needs to turn it on ffs. Bale your team needs you! 🗣. #wal need to wake up ffs. FFS. Bring Bale on. #WALSUI. Just give the ball to Bale ffs.
1623507738.0,"[[""mbabu"", 0.7334359931697533], [""tackl"", 0.5030784257786125], [""corner"", 0.29634612242426306], [""yellow"", 0.24048241285704644], [""book"", 0.1793407371123884], [""ref"", 0.13242665603261308], [""superb"", 0.11675190385502374]]",Mbabu couldn’t of made much more of a better tackle🙈. Mbabu booked for tackling and winning the ball. Game's gone. This ref is insane for booking Mbabu for a wonderful tackle. Mbabu with the best tackle of the game and it gets given as a yellow.
1623507973.0,"[[""zakaria"", 1.0]]",Zakaria finally coming on. Zakaria ball for 25mins😍😍. Time to watch zakaria ball out🤩🤩🤩🤩. Very excited to see zakaria and i like the sub. Zakaria for Freuler would have been my sub #SUI.
1623508442.0,"[[""corner"", 0.43926615912298606], [""header"", 0.2971862801649998], [""nice"", 0.2971862801649998], [""deserv"", 0.2971862801649998], [""dan"", 0.29031337484040576], [""take"", 0.28189598031734087], [""jame"", 0.2462524357469126], [""piec"", 0.2407208571801856], [""short"", 0.22536910085238193], [""morrel"", 0.22312489403853025], [""assist"", 0.19630325208361785], [""set"", 0.1742789546581757], [""work"", 0.16741581619669285], [""stupid"", 0.14242965369049773], [""best"", 0.13799359643820658], [""bad"", 0.12933385078190196], [""player"", 0.07864085082173078]]","Wales play a corner short, Morrell clips in a lovely cross and the magnificent Adonis himself flicks a header into the bottom far corner. Wales coach is stupid. Daniel James has been their best player and they take him off. Joe Morrell with the assist - the one we let away."
