node,timestamp,split,query,summary
0,1595775015.0,None,"[[""count"", 0.8192748135281072], [""kick"", 0.5734010637577204]]",10 minutes to kick off #LEIMUN #GGMU. Counting down to kick-off ⏳. #MUFC #LEIMUN.
1,1595775337.0,None,"[[""prepar"", 0.8326481317855551], [""know"", 0.5538023913220538]]",United fans just doing the acting you know leicester arn’t winning without 4 main players🥱. Who else knows it's a must for Manchester United to win Leicester City 😍😍💪💪💪. Final preparations for #LEIMUN ✔️. We know what we need to do ✊. #MUFC. Final preparation. #LEIMUN.
2,1595775474.0,None,"[[""win"", 1.0]]",Leicester with two strikers just to win man u #LEIMUN. Hoping for Leicester v United as a draw and Wolves win🤤. Finally finally dem come reach King power 😹... Leicester city we move.. Win win 😂😂😂. Chelsea to win. Leicester to win. Do it lord🙏🏿.
3,1595775781.0,None,"[[""dive"", 1.0]]","Martial what was that dive?😂😂😂. Manchester diving United. Easy o. Martial diving course he try and get the softest penalty VAR will ever give #LCFC. Hei dont dive ! #LEIMUN. That Martial dive, LOL, absolute cheats of a team, needs a yellow. Offside aside what a dive by Martial."
4,1595776098.0,None,"[[""maguir"", 0.778896384796947], [""yellow"", 0.39962187265217136], [""book"", 0.39962187265217136], [""pogba"", 0.2718917791074046]]",Pogba stop this holding on to ball and losing possession. But maguire too how you fit tackle like that so early. 9th minute. Maguire goes into the book for a wild challenge. Maguire now at risk for the rest of the game with that yellow 🤦🏾‍♀️.
5,1595776232.0,None,"[[""rashford"", 0.7224817607672793], [""maguir"", 0.6913899806611402]]","I here you harry maguire is there really anything more i need to say. Rashford’s touch has been horrendous Maguire on a yellow, not the best opening 10 minutes.... 👀. How tf is Rashford’s long range passing so good post lockdown. I can’t lie that was a good ball from rashford."
6,1595776508.0,None,"[[""matic"", 0.9760247807661236], [""ndidi"", 0.2176594296841751]]","What was that by Matic? In the box all you do is get the ball out. Matic sometimes need to look where he is passing 😳😳😳😳. Matic has not been the same since he signed new contract ffs. Oof, Ndidi could've / should've scored there. What was Matic doing?! #LEIMUN."
7,1595776883.0,None,"[[""touch"", 0.9111752859468956], [""maguir"", 0.3205090093113115], [""greenwood"", 0.25890842634003747]]","It’s so funny to watch Maguire play football 🤣🤣. Greenwood’s first touch is out of this World. What a wonderful touch by greenwood, someone clip that up please #LEIMUN. Harry Maguire there, with the touch of Chris Grayling and a government contract."
8,1595777136.0,None,"[[""gea"", 0.8162990458084084], [""offsid"", 0.5638716839989049], [""k3k3"", 0.08339296100566988], [""long"", 0.06651947463618146], [""garbag"", 0.06576750980046676]]",De gea trying his best to give me a heart attack the dick head. De Gea needs the season to end more than any other player. Iheanacho should have given vardy but he was offside anyways. David de gea in goal is like putting a 5’”2 striker from pro clubs in goal.
9,1595777326.0,None,"[[""rashford"", 0.818584683845471], [""maguir"", 0.5743858593085401]]",Literally don't understand it. Every time Rashford gets the ball he's almost at left back. Really need a player that can actually play ball to come and bench this useless Rashford. Can Rashford pass to a red shirt. Maguire could get a red in this game.
