timestamp,query,summary
1623677007.0,"[[""shite"", 1.0]]",Cannot believe how absolutely shite O'Donnell is. O'donnell is shite 😂. O'DONNELL YER FUCKING SHITE MATE. O'Donnell 🤦‍♂️.
1623678207.0,"[[""header"", 0.7071067811865475], [""coufal"", 0.44443449425604076], [""assist"", 0.4197189232915751], [""fantasi"", 0.3554068172479786]]","Nice delivery from coufal and a great header from schick. Schick with a header. Always enjoy a good header! Coufal assist for my fantasy 🤫. But Czech Republic is the one who's take the lead, great cross by Vladimir Coufal followed by superb header by Patrik Schick."
1623679395.0,"[[""ryan"", 1.0]]","Why ryan christie is off? #SCO 0-1 #CZE. There's also a half-time change - Che Adams is on for Ryan Christie. The second half is underway - come on, boys! 🏴󠁧󠁢󠁳󠁣󠁴󠁿.. EURO 2020. Scotland 0 Czech Republic 1 LIVE: Back underway at Hampden. Che Adams replaces Ryan Christie.."
1623679805.0,"[[""hendri"", 0.4783603638446676], [""wow"", 0.3560376880083167], [""finish"", 0.3560376880083167], [""patrick"", 0.3560376880083167], [""shick"", 0.3560376880083167], [""jack"", 0.2878289687731965], [""david"", 0.27305889331846916], [""wtf"", 0.2334773449947943], [""marshal"", 0.2284768611085165]]","Jack hendry trying that when no one's at the back 😣. Gutted for Scotland, but that was a brilliant finish from Schick. Fuck jack hendry for having that shot and fuck Davies Marshall for being so far off his line. This Patrick Schick goal is the goal of the tournament 100%"
1623679933.0,"[[""jack"", 0.7186850360003487], [""hendri"", 0.5324389159328997], [""shoot"", 0.44721428848973066]]","Jack fucking Hendry 🙃. Selecting Celtic’s Jack Hendry instead of Oostende’s Jack Hendry was a major error. Jack hendry is a bum. Why did Hendry even try and shoot. Wow, that was superb from Schick. But what was Hendry doing shooting? ""Jack Hendry deserves a chance."""
1623680092.0,"[[""unbeliev"", 0.7071067811865475], [""goali"", 0.7071067811865475]]","Unbelievable Tekkers #SCOCZE. Unbelievable by Schick! Unbelievable PATRIK SCHICK. #CZESCO EURO 2020. Patrik Schick 2-0 Czech Republic!! What a goal, definitely the top goal of the EURO 2020 candidate, gets his 2nd goal of the game, unbelievable! 🇨🇿.. What is this goalie doing??"
1623680538.0,"[[""patrick"", 1.0]]","Patrick Schick today #SCOCZE. Warra a goal by Patrick Schick😍😍, the goal of the EURO 2020 🤔🤔. QUE GOLAZO! PATRICK SCHICK! (🎥 @TUDNUSA). Patrick Schick what a strike!!! Oh my! Patrick Schick from near the halfway line! #CZE.. Patrick Schick wow! Take a bow! Patrick Schick pureeee."
1623680640.0,"[[""vaclik"", 0.5773502691896257], [""save"", 0.5773502691896257], [""patrick"", 0.5773502691896257]]",Not 'what a save' from Dykes. He should bury it! Vaclik is having the game of his life. The Czech goalie is having fun. Saves after saves. #SCOCZE. And another world class save.. Tomas Vaclik! 👏. #CZE EURO 2020. What a Goal. Patrick Schick! 🤯🔥. EURO 2020 #SCOCZE.
1623680803.0,"[[""david"", 0.7758975175270023], [""marshal"", 0.6308589717959435]]","Can David Marshall play against England? #SCO #SCOCZE. “OH SCHIIIIIIICK” — Scotland GK David Marshall, probably. David Marshall tried. 😳. David Marshall did his best to keep it out 🧤."
1623681280.0,"[[""patrick"", 1.0]]","What a goal from Patrick 🚀🚀🚀🚀[Czech Republic] this is EURO 2020. 51’ Scotland 0-2 Czech Republic. ⚽️⚽️Patrick Schick. WHAT A GOAL BY PATRICK SHICK! EURO 2020 #SCOCZE. Patrick Schick. That’s it that’s the tweet. Patrick Schick rules, but lol at that poor keeper."
1623681379.0,"[[""forrest"", 0.8641360486247737], [""nisbet"", 0.4575035053129999], [""jame"", 0.20966504738148545]]",Nisbet should have been on long before this. Forrest you’re not Messi la. Forrest almost doing a Gemmill. Forrest and Fraser should of started this game Clarke got it all wrong. James Forrest with a good chance for Scotland euro 2020. What a run from Forrest.
1623681757.0,"[[""holi"", 1.0]]","A very Schick goal. Goal of the tournament by Patrick Schick!! Euro 2020 (🎥 @TUDNUSA). Holy Schick, Czech that goal out 🤯🤯. @brfootball Insane goal from Schick. You will NOT see a better goal than this.. Holy Schick.. #CZE EURO 2020.. @JB___AFC I’m getting Schick of it man."
