timestamp,query,summary
1623502490.0,"[[""allen"", 0.7723520385082459], [""joe"", 0.6351947170845782]]","Is that Joe Allen??? Did i know joe allen is that short. I miss joe allen , the welsh xavi😂. EURO 2020. I just wanna see Joe Allen do well."
1623503802.0,"[[""sommer"", 0.6122959878524624], [""close"", 0.5209462037999566], [""yann"", 0.4406995443016124], [""save"", 0.39936523090842885]]",@ayoungleg Remember when you said Yann Sommer stinks essentially ?. Both Yann and I do 📝. What a save that is from Sommer!!. Should of been 1-0 Wales. Yann Sommer with one of the saves of the tournament... It's only the second game of the Euros!.
1623503922.0,"[[""unlucki"", 0.7071067811865475], [""momma"", 0.7071067811865475]]","@KRFMoore Unlucky EURO 2020. That’s a fuckimg great save, unlucky kieffer moore nothing more he could have done. Fuck me what a save from Sommer, or “momma” as Steve on comms said. What a save Yann Momma #WALSUI. @markgoldbridge Anyone hear the commentator call sommer yan momma."
1623504737.0,"[[""run"", 0.6968137363862119], [""jame"", 0.4506462999626208], [""dan"", 0.43051297369338226], [""magnific"", 0.3550029698399263]]",Daniel James with the run. That was a great run from Dan James. EURO 2020. What a magnificent run that by Dan James.. euro 2020. Dan James 😎⚡️ EURO 2020.
1623504981.0,"[[""ben"", 0.7563214958438056], [""davi"", 0.654200118407654]]","@KopiteMay Ben Davies has been superb... shame it’s not r Ben Davies😂. Ben davies has been excellent so far. Wait, is that our Ben Davies? That Ben Davies is doing quite well 😉. I ain't even notice Ben Davies playing yc."
1623505672.0,"[[""pen"", 0.7559289460184544], [""shouldv"", 0.3779644730092272], [""worst"", 0.3779644730092272], [""penalti"", 0.3779644730092272]]",Seferovic is quite literally the worst player I’ve ever seen in my life. Embolo shouldve gotten a retrospective penalty there after seferovic missed. Sefferovich is a cow. Embolo should've dived that's a pen. How come that's not a pen for shirt pulling on Embolo?
1623505777.0,"[[""gone"", 1.0]]",Embolo should have gone down. Embolo should have gone down. Stupid move on his part. Embolo too honest there. lot of people have gone down for a lot less. EURO 2020. Wales got lucky there. Embolo did well there. Should have gone down because he could have even got a penalty.
1623506897.0,"[[""yellow"", 0.37796447300922725], [""embolo"", 0.37796447300922725], [""save"", 0.37796447300922725], [""fuck"", 0.37796447300922725], [""breel"", 0.37796447300922725], [""corner"", 0.37796447300922725], [""danni"", 0.30740381023964375], [""ward"", 0.2199091637637959]]","Oh fuck off embolo they deserve it we’ve been fucking shit. Switzerland have been doing well from corners all game from those Shaqiri deliveries, now scored from one. Wish we'd thought of that around the 90th corner we failed to score from last season."
1623506995.0,"[[""deserv"", 0.8944271909999159], [""connor"", 0.36886407072703153], [""robert"", 0.25286221015937416]]",And connor Roberts that marking was shambolic fuck off its deserved but so annoying. Connor Roberts X getting beat to headers in which we concede off. Can’t say they don’t deserve that. deserved lead for Switzerland 🇨🇭 EURO 2020.
1623507123.0,"[[""mbabu"", 0.5], [""power"", 0.5], [""assist"", 0.41293845262234924], [""half"", 0.36260948253060066], [""second"", 0.34425915119120654], [""shaqiri"", 0.2819252282890976]]",Shaqiri with a great assist to put Switzerland 1-0 up... Mbabu has been watching my finishing by the looks of it. @MbabuFUT this is the mbabu that ruins my day on fifa ? Embolo has started the second half really well. Wales struggling to deal with his power.
