timestamp,query,summary
1624107351.0,"[[""anthem"", 1.0]]",Strong national anthem game today too! EURO 2020. What an anthem that is #FRA. They forced Benzema to sing this anthem? 😔. Deschamps sings the national anthem like he wrote it. I feel this joy inside me anytime I see Mbappe and Pogba singing the national anthem 😻😻😻.
1624107620.0,"[[""masterclass"", 0.7548599798331184], [""incom"", 0.6558859739667744]]","An incoming masterclass from Pogba, Kante Giroud EURO 2020. Pogba masterclass today. Paul Labile Pogba masterclass incoming 💯❤️ 🔥. Pogba and Mbappe masterclass incoming to save my fantasy team. Need a Pogba masterclass now. Another Pogba masterclass incoming."
1624107724.0,"[[""alreadi"", 0.8550681385853726], [""kant"", 0.5185156491140323]]",Kante already with the assignment lol. Kante has already started work. lol. One tackle for Kante already. EURO 2020. Kante body checking already.
1624108126.0,"[[""kant"", 0.7071067811865475], [""pavard"", 0.7071067811865475]]",@reganglackin98 Scotland’s Kante 👏🏻👌. Kante what a player. Kante is so good man. Kante wayyyyyy 😭. @EURO2020 @FrenchTeam Carried by kante. @EURO2020 @FrenchTeam Kante and others. Pavard honestly f u. Pavard is STRUGGLING! 😂 #HUNFRA EURO 2020. Pavard il guy. PAVARD YC.
1624108217.0,"[[""yellow"", 1.0]]",EURO 2020 #HUNFRA reference should give 2 yellow cards - Varane and Pavard! Pavard is gonna get cooked after that yellow on that flank. First yellow of the match to Paward ! #HUNFRA. First yellow card.. it’s been coming for a while to be fair EURO 2020 #HUNFRA. Pavard yellow hmmm.
1624108428.0,"[[""griezmann"", 0.4904461273688137], [""offsid"", 0.45627862726987123], [""save"", 0.38418666376476945], [""gulasci"", 0.2898451879675152], [""kant"", 0.2898451879675152], [""gulacsi"", 0.256525330888556], [""fuck"", 0.2394235525584789], [""miss"", 0.2142651912133009], [""anyway"", 0.21150605727888805], [""doubl"", 0.14791647817793746]]",Kante is just so so so so so so good man. Griezmann was lucky he was offside how did he miss that. Credit to Gulacsi on the double save as well. Thought he should've done better with the first save but he reacted very well with the second save.
1624108647.0,"[[""header"", 0.8164965809277261], [""giroud"", 0.4082482904638631], [""deliveri"", 0.4082482904638631]]",Giroud would have 2 goals by now. 8 yards out free header 200 mill mbappe get fucked. Lucas Digne deliveries are top notch. 👌 #HUNFRA. That was such a beautiful delivery from Digne from the left flank. 👌👌. Mbappe should do better with that header.
1624108769.0,"[[""kimpemb"", 1.0]]","Kimpembe cannot do that. He's fortunate not to get carded. #HUNFRA. I would definitely take Kimpembe at Manchester United. Kimpembe, what was that? 🤦‍♂️. Don't rate kimpembe at all. Kimpembe body checked him #HUNFRA. France will not win this tournament starting Kimpembe."
1624108992.0,"[[""pogba"", 0.5773502691896257], [""header"", 0.5773502691896257], [""live"", 0.5773502691896257]]",Pogba i love u man. .. And Paul Pogba ♥️. Give the FK to Pogba he's scoring. Updated Headers stats for Mbappe. #HUNFRA. Look at Pogba balling😍 Pogba playing for France is so amazing to watch. Link to watch live please #HUNFRA. 🔴Live Hungary 🇭🇺 vs France 🇫🇷. EURO 2020..
1624109146.0,"[[""szalai"", 0.5773502691896257], [""freekick"", 0.5773502691896257], [""kick"", 0.3911403617921743], [""free"", 0.37062917122859096], [""mbapp"", 0.20730790661435994]]","*Szalai my bad, and good he was taken off. Wtf does Mbappe know about freekicks mara 🤦🏽‍♂️. Imagine getting subbed on and taking an Mbappe freekick to the dome 20 seconds later. I'd retire. Mbappe taking free kicks for France? Why tf is Pogba not there #HUNFRA."
