timestamp,query,summary
1595775080.0,"[[""link"", 0.6509616855990193], [""live"", 0.5694357898368329], [""stream"", 0.5019878137315548]]",Link Live Streaming Leicester Vs MU. Here's the Live stream link. Live NOW ►Leicester vs Manchester United. Live Link: ↓↓↓. Link 1:. Link 2:. Hits Like Retweet. #️⃣ #LEIMUN. Link Live Streaming Leicester City Vs Manchester United.
1595775630.0,"[[""lad"", 0.7071067811865475], [""boy"", 0.7071067811865475]]","It’s now or never lads, LET’S GO! #MUFC. Good luck lads! Let’s do this, with you all the way 💙🦊💙. Here we goooooooooo, come on boys #LEIMUN. Hope the lads will win over leicester city. Here we go!! Do us proud lads 👹⚽️♥️#MUFC #LEIMUN. All the best lads @ManUtd #LEIMUN."
1595775758.0,"[[""dive"", 0.7071067811865475], [""we"", 0.5206709372968986], [""morgan"", 0.4784368036160775]]","How is Wes Morgan still playing in the Prem. Martial isn't it too early for a dive? Martial vs Wes Morgan. Lmao 😂 😂 😂. Wes Morgan has never been fit since they won premier league. We can eat from Wes Morgan, if we are serious. Martial should've got a yellow for that pathetic dive."
1595775961.0,"[[""rashford"", 1.0]]",Get Rashford off already. Come on Rashford. Rashford today is not the day…. Rashford really. What is Rashford doing ffs. Rashford will not kill me. Rashford don start. Take Rashford off now! Rashford better than that man. Interesting plays from Rashford today.
1595776074.0,"[[""pogba"", 0.7071067811865475], [""brandon"", 0.5982735391773742], [""william"", 0.3769201139766605]]",Brandon Williams on the pitch almost guarantees this. Brandon Williams is like paper wtf. Brandon Williams doing the work. Not even going to a foul on Brandon Williams ? #LEIMUN. Brandon williams is not a Manchester United quality left back. Pogba what tf are you doing?
1595776167.0,"[[""wtf"", 0.35355339059327373], [""yellow"", 0.35355339059327373], [""stupid"", 0.35355339059327373], [""unnecessari"", 0.35355339059327373], [""card"", 0.35355339059327373], [""book"", 0.35355339059327373], [""tackl"", 0.35355339059327373], [""poor"", 0.35355339059327373]]",Pogba has been so so poor these last few games man ffs. Maguire getting booked in the first 10 minutes... stupid challenge what is he thinking. Maguire own goal then red card is gonna be unbelievably funny. Maguire with a stupid tackle smh get a yellow 10 mins in perfect 🤦🏽‍♂️.
1595776264.0,"[[""sent"", 0.5], [""ball"", 0.5], [""greenwood"", 0.5], [""pass"", 0.5]]",Maguire is going to get sent off this match! What a ball by Rashford... but headed over by Greenwood. That was a top top pass from Rashford. Great run by Greenwood. That pass is the precision we need from Rashford. Good pass rashford... you take my note very quick... keep passing.
1595776479.0,"[[""ndidi"", 0.5], [""ball"", 0.5], [""pass"", 0.5], [""cost"", 0.3995374074462448], [""almost"", 0.3006158013996161]]","Up the Vardy, up the Ndidi, up the damn Leicester City. @ChimpInATopHat A great pass. Ndidi should do better. I can’t do this. Ndidi uaaaa😂😂 fuck Man U😂😂😭😭. Why the fuck are they passing the ball at the back. #LEIMUN. Matic is gonna cost us I can already see."
1595776584.0,"[[""link"", 0.8029419662239291], [""live"", 0.5960572110766306]]",English Premier League. Leicester City vs Manchester United - live stream online free. 🕹Link 1:. 🕹Link 2:. 🕹Link 3:. 🕹Link 4:. 🖥WATCH|| ♠. Leicester vs Manchester United.. 🛑Live stream links ↓↓↓↓. Live 1 ••. Live 2 ••. Live 3 ••. Live 4 ••. #️⃣ #LEIMUN. RTWET 🔁 + LIKE💗.
1595776823.0,"[[""fuck"", 0.7776088740627288], [""bad"", 0.29375554645843643], [""harri"", 0.29375554645843643], [""cost"", 0.29375554645843643], [""away"", 0.22709973292550917], [""gea"", 0.22395346543091688], [""give"", 0.1863277552600713]]","No way Iheanacho just turned Matic like that, we’re fucked. Ei matic go cost we o! what sort of sluggishness is this. Why the fuck is maguire the captain of this team? Who did this to us for God’s sake?? 😒. De gea why tf will you drop that again? 🤦‍♂️."
