timestamp,query,summary
1623675331.0,"[[""atmospher"", 1.0]]",Teamspirt💪🏻🔥 What a win en great atmosphere 🦁 EURO 2020. That atmosphere ♥ 🏴󠁧󠁢󠁳󠁣󠁴󠁿 that's what it is all about #SCOCZE EURO 2020. Cracking atmosphere that #SCOCZE. Some atmosphere at Hampden Park. Some atmosphere at Hampden Park there.. Imagine that place was full.
1623675538.0,"[[""inta"", 0.5773502691896257], [""belt"", 0.5773502691896257], [""mon"", 0.5773502691896257]]","Belt it out Scotland 🎵🎶 Good luck ! #SCOCZE. Can feel the passion of the fans in Hampden Park belting out the Scottish national anthem #sco EURO 2020. Flower of Scotland belting round Hampden Park. Yes please, I'll have some of that. C'mon Scotland EURO 2020."
1623676606.0,"[[""david"", 0.6559877933310937], [""marshal"", 0.6496945281290631], [""save"", 0.38415756548551283]]",David Marshall appreciation tweet ❤ #SCOCZE. David marshall let me kiss you. His name is David Marshall and he's a shagger. #SCOCZE. What a save David Marshall EURO 2020. Is David Marshall the greatest keeper of all time? #SCOCZE. #sco. David Marshall what a save. Wigan’s finest.
1623676764.0,"[[""wide"", 0.5773502691896257], [""unlucki"", 0.5773502691896257], [""lyndon"", 0.5773502691896257]]",Good attacking play down the left but Dykes shoots wide. Dykes just wide #SCO #SCOCZE. Wow that Roar and Dykes just puts it wide.. Sooo unlucky there Dykes. Liquid Football Scotland. Unlucky. Dykes great movement in the box. #SCOCZE. Is that Lyndon Dykes?
1623676927.0,"[[""donnel"", 0.7686578628097691], [""stephen"", 0.4552386135423091], [""nathan"", 0.36613823256564043], [""defend"", 0.260510439972189]]",How is this O'Donnell guy a footballer 😂😂😂 #SCOCZE. Nathan Patterson wouldn't have got in his way.. Great defending from Stephen O'Donnell of the Czech Republic. May not be related to Phill O'Donnell but its good to see an O'Donnell down that side.
1623677548.0,"[[""close"", 0.37796447300922725], [""chanc"", 0.37796447300922725], [""save"", 0.37796447300922725], [""buri"", 0.37796447300922725], [""sprint"", 0.37796447300922725], [""ronni"", 0.2630980123548837], [""grant"", 0.2611725547072279], [""hanley"", 0.23702061546975658], [""whelan"", 0.2255125820184718], [""celtic"", 0.15093261444570005], [""brazi"", 0.1358943242640425]]",Huge chance for #SCO. Great football but what a save! EURO 2020. Is someone gonna tell Ronnie Whelan that it's Scotland and not Celtic playing? #SCOCZE. Right when did Grant Hanley become a fucking baller? Was that Grant Hanley or Ronaldo sprinting back there 👀.
1623677694.0,"[[""class"", 1.0]]",Do think McTominay is a top class player tbf. Robbo is world class also. Hanley has been class. Andy Robbo Is World Class 🔴 #SCOCZE. Christie's been absolutely Class👏🏻👏🏻. #SCO. Robertson is having a class game #sco. Hanley master class.
1623678172.0,"[[""header"", 0.5], [""cross"", 0.5], [""patterson"", 0.5], [""sake"", 0.4205155721805652], [""fuk"", 0.2704933521431754]]","Schick that’s a proper header, Czech got so many giants in the box. See, it wasn't Soucek but a header from a cross. Stop them putting crosses in. Hanley well beaten to the header for that Czech goal. Great header but we’ve had chances, Patterson and Adams on and it will come."
1623678272.0,"[[""patterson"", 0.4245566801318842], [""adam"", 0.42010472980923047], [""love"", 0.3432330283946539], [""razor"", 0.3432330283946539], [""feel"", 0.3432330283946539], [""billi"", 0.2667385780716226], [""che"", 0.26261873117971285], [""odonnel"", 0.2355666612840136], [""gilmour"", 0.21600796918006104], [""half"", 0.18842615824391534], [""need"", 0.1098331791306468]]",@AshwinRaman_ I've got a schick feeling about this game :( Scotland would be winning if billy gilmour was playing. Adams needs to come on at half time. #scocze. Armstrong off gilmour on. O’Donnell off Patterson on. Christie off che Adams on.
1623678456.0,"[[""half"", 0.4082482904638631], [""penalti"", 0.4082482904638631], [""patterson"", 0.4082482904638631], [""pen"", 0.4082482904638631], [""che"", 0.3286371619906966], [""dyke"", 0.28821337060375046], [""adam"", 0.24220710647164614], [""pish"", 0.2045500559560405], [""get"", 0.204350175630638]]","@caldwellrowan29 boril stood his ground, if he runs into him it's a clear pen. @markgoldbridge Well Scotland have che Adams on the bench. Baffled as to why he hasn't started. McTominay is getting that penalty if he's playing for man u in the league."
1623678563.0,"[[""patrick"", 0.5], [""whigfield"", 0.5], [""forrest"", 0.40887336362741733], [""assist"", 0.37169480125242915], [""coufal"", 0.33442932694654215], [""jame"", 0.2877891111838698]]","@redgewd Coufal got the assist on the goal! ⚒. Are they playing fucking Whigfield over the tannoy? What year is this? #SCOCZE. @mstewart_23 I’ll have whatever you’ve taken, James Forrest 😂😂. 1-0 Czech Republic. Patrick Schick gives them the lead vs Scotland!."
1623678698.0,"[[""far"", 0.7071067811865476], [""patrik"", 0.4570040328105138], [""trail"", 0.38554226388642693], [""put"", 0.37749765132018437]]",Get Steve Clarke so far to fuck. @andrewrobertso5 How far can Scotland go at EURO 2020? Tweet of the day so far👇. 🏴󠁧󠁢󠁳󠁣󠁴󠁿🆚🇨🇿 Who's impressed you so far? EURO 2020. Patrik Schick opens the scoring for the Czech Republic to put them up 0-1 over Scotland 🇨🇿.
1623679022.0,"[[""second"", 1.0]]",Get Billy Gilmour on second half #SCO. Che Adams is a must in the second half. C'mon Scotland big second half to turn it around #SCO. Bound to see Billy Gilmour in the second half.
1623679323.0,"[[""che"", 0.8353068216182673], [""adam"", 0.5497840610257707]]",@KingsSpotland No a lot between the from the goal that is. Che Adams now on for Christie. Yassss Che Adams on! All our hopes rely on an Englishman come on che! 🏴󠁧󠁢󠁳󠁣󠁴󠁿. They had Che Adams on the bench this whole time? 😳. In 2 mins che Adams has done more than dykes.
