timestamp,query,summary
1623437405.0,"[[""wow"", 1.0]]",Wow !! Just Wow !! #TURITA. WOWWWW! Nessun Dorma! 😍👌🏻🤌🏻 #ITATUR EURO 2020. Wow. Nessun Dorma. Amazing. #ITA EURO 2020. Wow. What a performance #TURITA EURO 2020. Wow. That was pretty special EURO 2020 #TURITA.
1623437715.0,"[[""let"", 0.5773502691896257], [""insign"", 0.4841616724498687], [""anthem"", 0.48322562378098033], [""nation"", 0.31595305007993807], [""small"", 0.31451678534520133]]","Let's go, #Tur. Let the tournament begin with a surprise win 🙌. Immobile and Insigne will ball out this Euros I know it. Fuck me that Italian national anthem has got me pumped up! What an anthem #ita. How haven’t I noticed how small Insigne is before 😂."
1623437820.0,"[[""suit"", 0.4472135954999579], [""short"", 0.4472135954999579], [""chiellini"", 0.4472135954999579], [""belt"", 0.4472135954999579], [""bonucci"", 0.26712115562286454], [""insign"", 0.26342398178004894], [""next"", 0.24342163840104641]]",Why does insigne have to stand next to Chiellini and not barella. A couple great national anthems here… And we know #ITA are going to be absolutely belting theirs. Give Italy the win already just for Mancini and his coaching staffs suits.
1623437927.0,"[[""tall"", 0.5773502691896257], [""belt"", 0.5773502691896257], [""passion"", 0.5773502691896257]]","Insigne might be the only person who can make @publad look tall. Fans in the ground, belting out the Italian anthem. Goosebumps. 😍🇮🇹. 𝗙𝗢𝗥𝗭𝗔 𝗔𝗭𝗭𝗨𝗥𝗥𝗜 💙. #ITA EURO 2020. Just watched both teams belt out their national anthems with pride and passion. Take note England 🏴󠁧󠁢󠁥󠁮󠁧󠁿 #TURITA."
1623438032.0,"[[""car"", 0.8549295440490254], [""let"", 0.27968875483081734], [""suit"", 0.27968875483081734], [""remot"", 0.16822355108333906], [""control"", 0.16006151508297495], [""deliv"", 0.15043723393091402], [""toy"", 0.1401597481060244], [""want"", 0.1282532941597379]]",That car must be brought into the premiership -the car presentation of the ball was brilliant 👏🏽👏🏽#TURITA. Nice of Insigne to let them use his car to bring out the match ball. Bocelli. The remote control car. The crowd noise. Bobby Mancini’s suit.. Euro 2020 is tremendous already.
1623438126.0,"[[""come"", 1.0]]",@PizzaExpress COME ON ITALY 🇮🇹 #ITA. Come on Berardi. Come on Turkey #TUR. Come on Mancini. Come on Euro 2021 #TURITA.
1623438292.0,"[[""eye"", 1.0]]","Got my eye on Locatelli here. My eye on locatelli, barella, and Celik. @JonnyFX1 keep a eye on Locatelli and Barella in the midfield for italy absolute ballers 😤. Eyes on Barella tonight 🧐. Eyes down for #TURITA."
1623438655.0,"[[""small"", 1.0]]",Insigne is so small it’s hilarious. Insigne is a small man. Insigne is small 🤏🏼. Didn’t know insigne was that small jheez EURO 2020. Insigne 😭😭😭😭😭😭. To my small kings out there. If Insigne can make it. SO CAN YOU👑. Insigne to score. Bro is Insigne that small ?😂.
1623438940.0,"[[""lorenzo"", 1.0]]",Lorenzo insigne is so good. Lorenzo Insigne is the same height as the queen. @cringesocringee Lorenzo Insigne is the driver. Nice of them to let Lorenzo Insigne drive to the game.. Still can't get over how short Lorenzo Insigne is. EURO 2020.
1623439094.0,"[[""curl"", 0.6666666666666666], [""target"", 0.3333333333333333], [""midget"", 0.3333333333333333], [""napoli"", 0.3333333333333333], [""chanc"", 0.3333333333333333], [""better"", 0.2153516458503781], [""gotta"", 0.17302925364211294], [""finish"", 0.13528162428391033], [""done"", 0.12843106810972454]]",Insigne should be doing better there. No curl at all. Lorenzo Insigne is a brilliant player but he plays for Napoli... Chance for Insigne. Should’ve at least hit the target from there. Insigne just bottled me like 8 points fuck this midget.
