node,timestamp,split,query,summary
0,1624108436.0,None,"[[""griezmann"", 0.5878030085819904], [""score"", 0.5090712748874336], [""offsid"", 0.38344749241466225], [""save"", 0.38344749241466225], [""gulacsi"", 0.3182296361250138]]",What a double save but what the fuck was that by Griezmann. How has Griezmann just shot at the one place in the goal he couldn't score. Griezmann was lucky he was offside how did he miss that. Mbappe needed you to score that for me fantasy lad.
1,1624108635.0,None,"[[""giroud"", 0.759048567628551], [""cross"", 0.4548387810310029], [""mbapp"", 0.3655444609057725], [""dign"", 0.28869395967422795]]","Unreal ball from Digne, unlucky to miss that. So close from Mbappe! Fantastic ball from Digne. #HUNFRA. Digne's crosses are so good. Mbappe should have done better with that. Mbappe needed you to score that for me fantasy lad. That would have been a goal if it was Giroud."
2,1624109444.0,None,"[[""giroud"", 0.7439577616280402], [""mbapp"", 0.5025263914234228], [""score"", 0.4404475846639971]]","If you know ball you know the Giroud would have scored that…. Giroud scores that. Saying that though, Mbappé wouldn’t even pass it to him😭. Giroud will score one of those ffs😏😏 Benzema is a misser!🚮. Giroud would’ve scored these chances Mbappé and Benzema have missed."
3,1624109579.0,None,"[[""mbapp"", 0.5418722942318214], [""benzama"", 0.4956403713995678], [""would"", 0.4717824516140614], [""goal"", 0.3035100132139795], [""miss"", 0.27300472744967996], [""touch"", 0.2673694971398996]]","Mbappe and benzema are fighting who misses more chances, not who scores more. Still in awe of that touch and pass from Mbappe, would have been a class assist. Ball from Pogba. Skill and dribble from Mbappe. Would've been such a good goal."
4,1624109767.0,None,"[[""benzema"", 0.6041163232862559], [""run"", 0.42304500641923043], [""loos"", 0.3736417518083287], [""poor"", 0.3736417518083287], [""touch"", 0.30838013943680787], [""simpl"", 0.2043449706666534], [""anoth"", 0.20001223877111954]]",Honestly that should have been a simple pass to Griezmann from Benzema. Benzema is just running and playing passes into the Hungary players man😂😂😂. 📸 - Another good chance for France to score but Benzema with a poor pass.. Where Pogba coming with them loose touches nah.
5,1624110415.0,None,"[[""lead"", 0.5540606382867962], [""fiola"", 0.5318294198977093], [""champion"", 0.3239993611964495], [""world"", 0.3106192774633406], [""footbal"", 0.22914918728396502], [""wow"", 0.2126057594438414], [""win"", 0.20179309898660605], [""llori"", 0.1272058491879363], [""ff"", 0.10277376254202863], [""keeper"", 0.10091122048953735], [""frahun"", 0.0961986396173078], [""hunfra"", 0.07647947109475538], [""hun"", 0.0695639336276853], [""gol"", 0.06932028893514297], [""love"", 0.06743674990192565], [""varan"", 0.06372634297581622]]","Kante error leading to goal? Give him the ballon dor 🥶🥶🥶. Oh shit #fra 😱 go on #hun this is why we love football!. Omds what a goal from Fiola who put Hungary in the lead before half time 😭. Giroud for Griezmann, there's no way France don't equalise then win this 😀."
6,1624110545.0,None,"[[""drill"", 0.6113133202999564], [""time"", 0.3871973257449884], [""behind"", 0.3629642975626908], [""champion"", 0.2790293295148563], [""scorer"", 0.2637862581558351], [""second"", 0.2529136072997777], [""half"", 0.24632332490489284], [""mayb"", 0.1493421004707099], [""save"", 0.1431718785078357], [""giroud"", 0.12266605826187826], [""defend"", 0.12125152603438638]]","What a great Goalllllll from Fiola. Hungary scored and leads against fuckin World Champions 🔥🔥🔥⚽. France have to make better of their chances, should be an interesting 2nd half #HUNFRA Euro 2020. Maybe you start your second all time France scorer Olivier Giroud next time 👋🏽."
7,1624110659.0,None,"[[""giroud"", 0.6947189216864156], [""sell"", 0.4087727075358256], [""comfort"", 0.38755781325627786], [""benzema"", 0.2872554423666443], [""celebr"", 0.27133463965776733], [""hunger"", 0.158302936010771], [""deschamp"", 0.13737335772124498]]",Get giroud on for botzema and france will score. Benzema don sell this match. Giroud for score that goal comfortably. No way France binned giroud and thought they'd win it without him. Take Giroud out of the World Champions and they're losing to Hungary.
8,1624110762.0,None,"[[""stinker"", 0.5186563603423028], [""half"", 0.5018750470969813], [""aint"", 0.4028890503512613], [""fiola"", 0.36882068074950747], [""scene"", 0.3066128902786137], [""giroud"", 0.1816809170400317], [""budapest"", 0.17206549470826113], [""fuck"", 0.15537947408102634]]","No way fiola is celebrating like that at half time. Fuck it, Hungary to win the euros EURO 2020. Benzema Kane back to back stinkers for their countries, international football ain’t for everyone. 🇭🇺 When you score against the world champions... 🥳 Scenes in Budapest!. EURO 2020."
9,1624110881.0,None,"[[""scene"", 0.530834269082588], [""budapest"", 0.44749567371126414], [""need"", 0.3654229048683579], [""tudn"", 0.24424299585097403], [""halftim"", 0.23416649935377698], [""usa"", 0.2326000164310657], [""strike"", 0.23197523257251865], [""champion"", 0.20919010977229344], [""dead"", 0.20148893981583432], [""world"", 0.18677955076869954], [""lead"", 0.14927381948242038], [""sub"", 0.14316866311899226]]","🇭🇺 When you score against the world champions... 🥳 Scenes in Budapest!. EURO 2020. Benzema needs to be a super sub and not start. Mbappe inspiring the comeback is bait tbh and I need those points. So, did you have Hungary leading France at halftime? EURO 2020 (🎥 ESPN FC)."
