node,timestamp,split,query,summary
0,1624107675.0,None,"[[""kick"", 1.0]]","EURO 2020 Kick-off in Budapest! Hungary Vs France ⚽. What are your predictions? Kick-off ⚽️ Here. We go. Allez Les Bleus!!! #HUNFRA Fiersdetre Bleus. ⚽️ KICK-OFF! 🇭🇺🆚🇫🇷. ℹ️ Group F, matchday 2. 🤔 What will happen in Budapest? EURO 2020."
1,1624108443.0,None,"[[""offsid"", 0.7499529713065257], [""griezmann"", 0.6614911494710367]]","Offside or not that’s awful from Griezmann. Wtf how has Griezmann not scored that. Offside but how does Griezmann miss that. Griezmann is happy for that offside flag 😂. 📸 - It was offside, but Griezmann failed to finish this... Griezmann lmao offside but how has he not scored."
2,1624108641.0,None,"[[""dign"", 0.5352426474956039], [""cross"", 0.5063706397970571], [""wouldv"", 0.48966152689762016], [""giroud"", 0.46619274182435216]]","What a cross digne. What a ball from digne. Giroud would’ve scored that. Giroud scores that header. Digne crosses are always on point 🤧. Perfect Digne cross, Mbappe - totally unmarked, heads wide.. Giroud would have scored. Giroud would've scored that too ahahahahah."
3,1624109242.0,None,"[[""mbapp"", 0.7083519810359261], [""free"", 0.7058593846953366]]",That must’ve hurt bro getting a shot from mbappe to the face😭😭😭. Mbappe on free kicks since when?? Seriously Has mbappe ever scored a free kick goal? Wtf does Mbappe know about taking free kicks? Stick to running fast and dribbling pal. Mbappe taking free kicks 😹😹😹.
4,1624109467.0,None,"[[""mbapp"", 0.6329946027430039], [""giroud"", 0.5513073671349751], [""ff"", 0.543486908619636]]","Giroud would have scored that. Bring Giroud in, these guys are incapable of finishing ffs. That would’ve been such a good goal ffsss. Griezmann ball over the top, Mbappe touch and reverse pass, Benzema half volley. What a pass by Mbappe! Benzema bottled it..."
5,1624109605.0,None,"[[""player"", 1.0]]",Pavard is one if those players that lives off the 'WC winner' hype. Hasnt been good for Bayern either. Did no one ever teach the French players that you don't play with your food? #FRAHUN EURO 2020. #HUNFRA Great pass what a Player. Mbappe is a special player!
6,1624109792.0,None,"[[""piss"", 0.7210519169178718], [""benzema"", 0.6928810382086253]]",Benzema is really taking the piss now. Benzema fucking pass. Benzema is just taking the piss at this point. He know I’ve got mbappe smh. That was a terrible attempt at a pass benzema. Benzema is just doing rubbish out there. Should have slipped the ball through to Mbappe there.
7,1624110412.0,None,"[[""lead"", 0.5663298241974491], [""champion"", 0.5244273601745586], [""goal"", 0.49405334107643084], [""giroud"", 0.2831649120987246], [""win"", 0.2827992271067364]]",The scenes when Giroud scores a goal before Benzema in this tournament. Go Kart!! Puskas Arena erupts. 1-0 against world champions. Hungary take the lead !!!!! Euro 2020 #HUNFRA. Who will win today's match between Germany 🇩🇪 vs Portugal 🇵🇹? EURO 2020. Portugalvs Germany.
8,1624110538.0,None,"[[""fiola"", 0.7008710921260468], [""drill"", 0.5583169860364405], [""kimpemb"", 0.27915849301822027], [""dribbl"", 0.2563347598311893], [""save"", 0.23113823137531847]]",Only Giroud can save France. #HUNFRA Fiola might need to watch those compliance videos again 🤣 massive goal tho. Hungary leads 🔥🔥😭. Fiola ⚽. Varane brainfade moment..... Lol kante dribbling 😂🤦🏾‍♂️. The World Champions are behind! This is not a drill. 😬. EURO 2020 #HUN.
9,1624110647.0,None,"[[""striker"", 0.6191862532847838], [""giroud"", 0.5736507970872314], [""alreadi"", 0.5362211733457897]]","Giroud is France best striker. Giroud is coming on and saving them isn’t he. Germany and Portugal already winning with #Fra losing here.. 😬. I don't care how this game ends, this is already a win for us! So proud! #HUNFRA #magyarok."
10,1624110843.0,None,"[[""scene"", 0.8805186566227625], [""pl"", 0.2965205522650531], [""shouldnt"", 0.26653036736675567], [""90th"", 0.2563669649058081]]",#FRA pls win aaaa. So that's what Pogba will doing when his team needs a goal in the 90th minute. Shouldn’t have checked the score … #HUNFRA 🇫🇷. 🇭🇺 When you score against the world champions... 🥳 Scenes in Budapest!. EURO 2020.
