node,timestamp,split,query,summary
0,1623438073.0,None,"[[""control"", 0.5706352788513498], [""footbal"", 0.5319595915771476], [""car"", 0.5088286308547599], [""realli"", 0.3639887304323953]]",Football is really back. EURO 2020. #TURITA. What is the point of having a toy car bringing a football on the pitch?! 😂😂 #TURITA EURO 2020. FOOTBALL!! #TUR #ITA. The ball in a remote control car 🤣🤣🤣🤣🤣🤣 EURO 2020 #TURITA. Stadio Olimpico is a Proper Football Stadium.
1,1623439368.0,None,"[[""save"", 1.0]]","Unreal save to deny Chiellini. EURO 2020. What a save from Cakir! What a header by Chiellini, but what a save by the goalkeeper. What a save that was #TURITA. What a save that is #ITATUR EURO 2020. Too too save #TUR #ITA. The save from the keeper was impressive EURO 2020 #TURITA."
2,1623440685.0,None,"[[""dive"", 1.0]]",They like a dive these two #ITATUR. He should be booked for that dive. #TURITA. Is this a diving tournament? #ITA Euro 2021. That dive from yilmaz 😭😭😭. Chiellini is actually embarrassing with his dives. You’re 46 man. Grow up. Chiellini trying to draw calls with horrible dives.
3,1623440787.0,None,"[[""penalti"", 1.0]]",Jorginho penalty coming up! Geen penalty? #itatur. WTF! This is a 100% penalty! #TURITA EK 2020. Italy should be 3-0 up all from penalties Euro 2020 #ITA. Is that supposed to be a penalty??? No!!! #TURITA euro 2020. What that's new rule about handballs and penalties ? #ITATUR.
4,1623440884.0,None,"[[""handbal"", 0.8895694241979191], [""take"", 0.45679999948794087]]","What that's new rule about handballs and penalties ? #ITATUR. Could’ve had a couple handball calls but happy with the start #ITA - #TUR happy to take a point and run. Good refereeing, none of those handball shouts should have been given. #TURITA EURO 2020."
5,1623440982.0,None,"[[""refere"", 0.44097664512890267], [""pre"", 0.4313697899654683], [""pen"", 0.4208379755009801], [""talk"", 0.404777410494211], [""park"", 0.39085886172706036], [""barella"", 0.35459794034267855]]",Didn't know Bocelli was the referee as well. #ITATUR #ITA. No VAR? #ITA should of had a pen there 👀 euro 2020. All the pre-match talk about Locatelli and Barella in Italy’s midfield just for Jorginho to be the best player on the park.
6,1623442001.0,None,"[[""offsid"", 1.0]]",Wow. Berardi has actually managed to be called offside DIRECTLY from a corner kick🤣🤣🤣🤣 #TURITA. Since when has it been possible to be offside from a corner? #ITATUR. You can’t be offside from a corner! euro 2020 #ITA. Offside from a corner?!#TURITA EURO 2020.
7,1623442228.0,None,"[[""demir"", 0.7160083405652641], [""goal"", 0.44405499264255693], [""need"", 0.37167897202487127], [""take"", 0.24316243802958398], [""final"", 0.23481138704252222], [""merih"", 0.19426168626727697]]","1-0 to Italy 👀. The first goal of the Euros is a own goal from Demiral. Finally the deadline is broken through an OG. #ITA take a well deserved lead. Euro 2020. Locatelli, wow. I do really like him, just think he is too similar to Rodri. We need a more mobile DM."
8,1623442330.0,None,"[[""demir"", 0.5195911092989005], [""juventu"", 0.4907925633531387], [""merih"", 0.3900148876405475], [""player"", 0.36776282552070805], [""cross"", 0.31826282622474206], [""goal"", 0.31701010066240726]]","🔥🔥💪💪💙💙At least Juve players know what justice is... thanks Demiral... you are a real Juve player 🖤🤍. A Juventus player scores an own goal vs #ITA !!! A goal nonetheless… Euro 2020. Italy lead 1-0 to Turkey because Juventus defender own goal, Merih Demiral. EURO 2020."
9,1623442471.0,None,"[[""initali"", 0.6538421364400152], [""deflect"", 0.548607783017934], [""strike"", 0.5210757728274306]]","Berardi's cross deflects in—Italy strike first at EURO 2020. Own goal. The Turkish defender Merih Demiral deflects Domenico Berardi's cross into his own net. Italy take the lead. 0-1. Insigne cuts in and tries to curl one, this time it takes a deflection over. 0-1 (57)"
