node,timestamp,split,query,summary
0,1623676616.0,None,"[[""save"", 1.0]]","Good save but how was that not a foul on McGinn? Great save from Marshall there #sco. What a save #SCOCZE. Great save from martial. #SCO #CZE. What a save about went into cardiac arrest there #SCO. 15' SHOOT by Valdimir Darida, SAVES by keeper and then corner kick for Czech Rep."
1,1623676789.0,None,"[[""cross"", 0.5318716865522538], [""goe"", 0.46740810740372296], [""accur"", 0.42601774470351284], [""robertson"", 0.41314389821898867], [""wide"", 0.38270507017739064]]",Robertson has mastered the art of crossing. Can’t think of many others who are so accurate. #SCO. That would have been a goal if it was a LFC player on the end of that Robertson cross. #SCO #SCOCZE. #SCOCZE sublime cross from Captain Andy Robertson reaches Dykes - just wide!
2,1623676970.0,None,"[[""tackl"", 1.0]]",O’Donnell tackling his own player like a mad man hahah #SCOCZE. Great of him to tackle his own player off the ball 😂. #SCO. #SCO so amped up they're tackling their own players. EURO 2020. O'Donnell has now tackled his own player and ruined the attack. This is ridiculous.
3,1623677587.0,None,"[[""save"", 1.0]]",Class save #CZE. It’s a good save. ‘Mon!!!!! #SCO EURO 2020. Huge chance for #SCO. Great football but what a save! EURO 2020. That was goal-bound from Robertson. Need save for #CZE. Crazy save by Czech keeper EURO 2020. Fantastic save #Sco #CZE. What a save from Vaclik.
4,1623678144.0,None,"[[""schick"", 0.599641489131586], [""cross"", 0.47662677458001257], [""coufal"", 0.45628020011067955], [""assist"", 0.32330308136640523], [""gol"", 0.18924786117930115], [""lead"", 0.18924786117930115], [""defend"", 0.17003232901296664]]","Coufal assist, don’t think anyone’s surprised. His crosses are unreal. Coufal again with the assist. What a signing he was for west ham 🤑. Coufal with a free run and cross, horrendous defending 🥴. What a cross, and what a header from Schick 👏🏻."
5,1623678248.0,None,"[[""final"", 0.7948262129858367], [""schick"", 0.45225142854064804], [""scocz"", 0.4046232031576246]]","Finally one of those corner kicks paid off!!! EURO 2020. After playing Lawn Tennis with set-pieces, the Czech Republic finally score. #SCOCZE. Schick takes the lead for #SCO. EURO 2020. Finally!! A goal #SCOCZE. Winning a euros game isn't for everyone... #eng #SCOCZE."
6,1623678442.0,None,"[[""play"", 0.6860783605149718], [""penalti"", 0.41733024079102254], [""nod"", 0.3542745468068332], [""pen"", 0.24067643939890906], [""stephen"", 0.2053764003815222], [""score"", 0.1926895531095949], [""half"", 0.18262623249950777], [""12th"", 0.1725887921745301], [""premier"", 0.17102160291903887]]",Mctominay thinks he is still playing in United shirt in trying to win a penalty for Scotland 🤣🤣🤣. Fuck you Steve Clarke. Played quality attacking football against Netherlands just to play like a pussy today. I really want you to score Mctominay but that was not a penalty 😅.
7,1623678552.0,None,"[[""header"", 0.952993861732746], [""assist"", 0.30298960295645117]]","We should not be losing a goal like that. Go and meet the header. Make it yours.. Big 2nd half ahead. #SCOCZE. Coufal for the assist, 👀. Coufal assist. Wonderful cross. is the first YouTuber to score at EURO 2020, having opened the scoring vs. Scotland. Excellent header. 🔥."
8,1623678656.0,None,"[[""half"", 0.7576067390803937], [""var"", 0.4864411309982488], [""ref"", 0.4352092082816228]]",Disappointing to concede having played well for most of the half. #SCOCZE. Best tackle of the first half half was Stephen O’Donnells on John McGinn when he was through on goal 😑. Ref has Donkey Brains. #SCO. Are they using VAR at this tournament? #SCOCZE.
9,1623679368.0,None,"[[""che"", 0.7615888652131213], [""adam"", 0.6480604912995315]]","CHE ADAMS SUPER SUB. Che Adams, good sub that. Need Che on your change this game.. Dykes ain’t doing a thing up top. #SCO 0-1 #CZE. Che Adams on. ✅. Ryan Christie off. ❌. Second half begins. Hopefully Che Adams makes the difference for Scotland. Need some more help upfront."
10,1623679565.0,None,"[[""crossbar"", 0.7858962848653148], [""patrik"", 0.48426158530828256], [""bar"", 0.3845227515110192]]",HENDRY HITS THE BAR! Oooof Scotland close to levelling the game as Jack Hendry’s effort hits the bar. Much better from Scotland. Hits the crossbar.. Scotland National Team.. #SCOCZE. 🇨🇿 Patrik Schick has now scored 7 goals in his last 11 games for Czech Republic 🔥. EURO 2020.
11,1623679682.0,None,"[[""save"", 1.0]]","Goal keepers win you matches,look at vaclik with that save. Saved a certain goal there! #CZESCO. I can’t believe one of the potential saves of the tournament will be one that saved an own goal #CZE. Tomas Vaclik just saved Tomas Kalas from scoring a beautiful own goal."
12,1623679792.0,None,"[[""goal"", 0.638893843691725], [""schick"", 0.4631070329753915], [""patrick"", 0.41037928475487373], [""keeper"", 0.30082054297714217], [""gol"", 0.18428169299171376], [""decis"", 0.17340638598768565], [""bow"", 0.16556782647475665], [""hendri"", 0.16431723534608655]]",That is fucking sensational from Patrik Schick take a bow. Schick's left foot is unreal mate!! Poor decision making by Hendry... Schick just lobbed the keeper from the midfield line. What a freaking goal. Fact: Patrick Schick is the best striker in the world.
13,1623679893.0,None,"[[""schick"", 1.0]]",OH BLOODY FOOTBALL GODS WHAT A GOAL BY SCHICK. The Schick they use to hype is finally showing up on the big stage. That tenner I had on Schick to win the… nah I’m kidding. International football is Schick anyway. Patrik Schick is my new favourite footballer #SCOCZE.
14,1623680004.0,None,"[[""patrik"", 0.6511865375437864], [""win"", 0.5378430294292788], [""sorri"", 0.5354259696877532]]","Teamspirt💪🏻🔥 What a win en great atmosphere 🦁 EURO 2020. I actually predicted #SCO to win this game 1-0 lmaooo. I'm sorry Scotland, you'll never win with an ex Norwich goalkeeper #SCOCZE #Euros. OUT OF THIS WORLD FROM PATRIK SCHICK 🤯."
15,1623680134.0,None,"[[""refere"", 0.7906074928802362], [""net"", 0.6123232742609308]]","Why is Ander Herrera refereeing this match? #SCOCZE. Getting absolutely nothing at all out of this referee #sco. The net looks broken from the aftermath of the goal #SCOCZE EURO 2020. The way the keeper went flying into the net is killing me, Schick did him dirty man💀."
16,1623680289.0,None,"[[""deflect"", 0.8142709026895485], [""save"", 0.5804850532383652]]",McLaughlin wd have saved that 🤣. 🏴󠁧󠁢󠁳󠁣󠁴󠁿 61' - Stuart Armstrong's effort is deflected onto the roof of of the net. #SCO 0-2 #CZE. Thought that was deflecting in then😭 #SCOCZE EURO 2020. Scotland very unlucky yet again. Stuart Armstrong goes close but it deflects over the bar.
