node,timestamp,split,query,summary
0,1610569116.0,None,"[[""wide"", 1.0]]","Ooft, golden chance for Icardi, free header six yards out from Di Maria's wide free kick and he nods wide. #PSGOM. 18' CHANCE! MauroIcardi heads just wide from a free-kick. That was close!. TDC 2020 | #PSGOM."
1,1610569638.0,None,"[[""yc"", 0.7607103813731566], [""ff"", 0.6490914540117645]]","Di Maria is still so good ffs. 2 YCs already in PSG v Marseille after 25, looking a lively one."
2,1610569772.0,None,"[[""offsid"", 0.7715223423406856], [""0x0"", 0.3799950385630383], [""impedimento"", 0.3799950385630383], [""mbapp"", 0.3405301992541808]]","Ball in the net again, Mbappe rifles in a finish from a long pass over the top but he's just offside. #PSGOM. Another OffSide for MBAPPE hhhhh. 2 offside PSG goals now ffs. 29' Gol de Kylian Mbappé anulado por impedimento. #𝐓𝐃𝐂𝟐𝟎𝟐𝟎. #PSGOM 0⃣x0⃣."
3,1610570400.0,None,"[[""icardi"", 0.6862960396976769], [""ouvertur"", 0.446103175128282], [""mauroicardi"", 0.43188711016115744], [""keeper"", 0.24275780315512194], [""areola"", 0.20584219615936006], [""score"", 0.20533111405723403]]",Is this Areola the PSG keeper who had a house in London that our fans turned their nose up at? ⏱️ 40' Goal for Paris. Icardi. #PSGOM | 1⃣ - 0⃣ | ⚪️🔵 | Td C 2020. And that is where Icardi is at his best. Icardi opens the score. ⏱️ 39' | #PSGOM 1⃣-0⃣. Ouverture du score de Paris.
4,1610570628.0,None,"[[""babiani"", 0.3536942836849524], [""sein"", 0.3536942836849524], [""crazi"", 0.3536942836849524], [""lottin"", 0.3536942836849524], [""1080p"", 0.3536942836849524], [""deni"", 0.3536942836849524], [""jonathan"", 0.3536942836849524], [""skill"", 0.3525655624421062]]",Kylian Mbappé Lottin vs OM • Crazy skills and goals • 1080p HD • Seine-Saint-Denis Jonathan Babiany ? 🔥 #PSGOM.
5,1610570822.0,None,"[[""unlucki"", 0.6058720737355097], [""concept"", 0.32635161958712683], [""12th"", 0.32635161958712683], [""toti"", 0.32635161958712683], [""pick"", 0.2930203775986393], [""jong"", 0.28778958508785957], [""thiago"", 0.27352285093291157], [""goal"", 0.2643943162975547]]",Very annoying that the Aberdeen match has been postponed. Just one more PSG goal though and we win another £35 👌🏽😊. That would’ve been a wavy goal by icardi. Icardi unlucky not to score there. TOTY 12th Man Player Pick Concept 🌟. Thiago 🇪🇸 Neymar 🇧🇷 Mbappe 🇫🇷. Who you taking? 👀.
6,1610571025.0,None,"[[""lead"", 0.8035711987181217], [""score"", 0.35871543511623594], [""joy"", 0.34223791104845774], [""half"", 0.3293475025581314]]",It's halftime in Lens and Paris Saint-Germain lead 1️⃣-0️⃣ through MauroIcardi. TDC 2020 #PSGOM. One thing icardi's gonna do is score against om. It's half-time in the Trophee des Champions final and PSG are in the lead! 😁. Scoring against Marseille = Pure joy. #PSGOM.
7,1610571220.0,None,"[[""first"", 0.5597657339454645], [""goal"", 0.5311350719394029], [""win"", 0.4500128104150143], [""asap"", 0.4494956383757257]]","Man, Dembele is a star⚡⚡⚡. We need to start calling Mbappe out ASAP!!!!. Goal for psg in the finals!!!!!! Pochettino might win his first trophy for psg today. Mauricio Pochettino is gonna win his first trophy tonight! 😭😭."
8,1610571346.0,None,"[[""fight"", 0.6310040865763861], [""pared"", 0.57428322301557], [""term"", 0.521567466859993]]","Also PSG need to make Florenzi's loan deal permanent. For £9m he's a steal and can be a short term starter, long term squad player. Paredes showing he isn't only good at fighting. What a first half he had. Leandro Paredes vs OM - 1st half time - Next Thiago Motta ?."
9,1610571857.0,None,"[[""anymor"", 0.6077922373328746], [""mandanda"", 0.6077922373328746], [""pele"", 0.5110549798953116]]",No one can say Pochettino doesn't win trophies anymore. AVB took Mandanda off at half-time 😭 Pele hasn't played for a year? Why did mandanda get subbed of?!? Marseilles have brought Pele on for the 2nd half. It’s ok though as he’s gone in goal. #PSGOM.
10,1610572909.0,None,"[[""basic"", 0.6083046432477797], [""nba"", 0.6083046432477797], [""happen"", 0.5098342103138855]]",For football people: what just happened in the NBA is basically Messi joining Neymar and Mbappe at PSG. 🤯.
11,1610573278.0,None,"[[""feyenoord"", 0.6197300851102273], [""hold"", 0.5194101377609089], [""ney"", 0.30986504255511366], [""score"", 0.3078238434094144], [""miss"", 0.2941932814113484], [""back"", 0.2623474421523134]]",Neymar jr back 🔥🏆 #PSGOM Trophee Des Champions. Neyyyyy finally ☺️☺️☺️ i missed him sm #PSGOM. They're daring OM to score on them. Trophee Des Champions #PSGOM. Tottenham score one more. Feyenoord hold on. Psg win that’s all. 🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽.
12,1610573949.0,None,"[[""fight"", 0.39596596443452403], [""titl"", 0.39596596443452403], [""minut"", 0.38434748324646845], [""min"", 0.3512237664159518], [""valentin"", 0.3222346924392116], [""valer"", 0.3222346924392116], [""replac"", 0.3222346924392116], [""rongier"", 0.3222346924392116]]",Pochettino is 10 mins away from winning his first ever silverware. 💉💉. ⏱️ 80' Final change for the Olympiens. Valentin Rongier replaced by Valère Germain.. #PSGOM | 1⃣ - 0⃣ | ⚪️🔵 | Td C 2020. Pochettino is 15 minutes from winning his first title. #PSGOM Trophee Des Champions.
13,1610574057.0,None,"[[""penalti"", 0.6639688381341845], [""idrissa"", 0.3448262013750733], [""guey"", 0.3448262013750733], [""essien"", 0.3448262013750733], [""fli"", 0.3448262013750733], [""pared"", 0.28900682581505027]]",Paredes needs to fly kick this guy. Idrissa Gueye vs OM 🔥🔥 // The New Essien 🥶🥶🥶 ? Skills and goals 🥵🥵🥵🥵 #PSGOM. Should be a penalty for PSG here. Definitely a penalty lol even if Icardi looked for it. Penalty ??? #PSGOM. That’s a penalty every day doesn’t need VAR. Foolish #PSG.
14,1610574163.0,None,"[[""irv"", 0.3475008205723708], [""kyri"", 0.3475008205723708], [""durant"", 0.3475008205723708], [""kevin"", 0.3475008205723708], [""harden"", 0.3475008205723708], [""suarez"", 0.3475008205723708], [""term"", 0.31200954905256323], [""colo"", 0.30542337639331857], [""jame"", 0.291248486110563]]","Esteban Paredes on for Javier Parraguez for the final 10 minutes of the game. Colo-Colo still one behind. James Harden, Kevin Durant Kyrie Irving?? In Football terms, this is going to be like Messi, Neymar and Suarez 😂🤣."
15,1610574301.0,None,"[[""poch"", 0.599157034895885], [""score"", 0.5971038043560521], [""neymar"", 0.5333646917056851]]",Neymar wins Poch his first trophy 🏆 #PSGOM. For football people: what just happened in the NBA is basically Messi joining Neymar and Mbappe at PSG. 🤯. Neymar scored more goals in finals today (1) than Henry has scored goals in finals in his entire career (0)
16,1610574405.0,None,"[[""spot"", 0.9069496822417015], [""week"", 0.30924366667978104], [""within"", 0.2860255731575784]]",Poch winning his first trophy for PSG within 2 weeks of being there. Neymar scores from the spot. GOAL! Neymar Jr nets from the spot to make it 2-0 to Paris Saint-Germain. TDC 2020 #PSGOM.
17,1610574525.0,None,"[[""gol"", 0.5220638922266991], [""fat"", 0.41570733074405664], [""picant"", 0.3831270992937302], [""playa"", 0.2532713765986455], [""dirt"", 0.24938734794904927], [""spursi"", 0.2321495520559911], [""goal"", 0.23052242587081884], [""biola"", 0.22811570352278923], [""kazeem"", 0.22811570352278923], [""mourinho"", 0.138936792932969], [""game"", 0.138936792932969], [""need"", 0.1268246443324959], [""payet"", 0.12534347552497557]]",PSG coming to do dirt in champions league lol. Gol de Payet. Picante final. Fat man scores goal. Trophee Des Champions #PSGOM. Another final goal for Neymar. Big game playa. Pochettino about to win his first competitive trophy 🏆..... Where is Biola Kazeem. Gooooooool payet.
18,1610574662.0,None,"[[""enter"", 0.383101198426569], [""danilo"", 0.383101198426569], [""load"", 0.383101198426569], [""woah"", 0.3693944637353491], [""come"", 0.3410376531560326], [""though"", 0.33166713063509623], [""first"", 0.31385426029320784], [""payet"", 0.31374174464990295]]","Neymar just had to score on his first game back 🙏🏾. Come-back loading…. #PSGOM Trophee Des Champions. 88' - DOUBLE SUB. Kean and Danilo enter the game.. TDC 2020 | #PSGOM. Woooooooah, Payet scores! Finally! Still 2:1 and almost the end of the game though. #PSGOM."
19,1610574798.0,None,"[[""conced"", 0.5781398190694663], [""pen"", 0.30739520157833755], [""someth"", 0.30739520157833755], [""back"", 0.30392976066466587], [""ass"", 0.2666627434670064], [""month"", 0.2576350379543834], [""came"", 0.25197478978758675], [""champion"", 0.24946566482722682], [""win"", 0.24634199769378357], [""first"", 0.24597521481403342]]",Neymar back scoring (just a pen) less than a month after this. The best thing about cavs goal is that Parker told kamara to sit back down 🥳🥳. Im just going to give up on psg if we concede now. You was on to something when it came to closing out games. Trophee Des Champions #PSGOM.
20,1610575069.0,None,"[[""one"", 1.0]]",⏱️ 90+6' All over in Lens as OM go down by one goal. #PSGOM | 2⃣ - 1⃣ | ⚪️🔵 | Td C 2020.
21,1610575212.0,None,"[[""kamara"", 0.9482016931537924], [""lookman"", 0.3176689300203613]]",This kamara fool had the easiest pass ever. Kamara looks up and Fulham win fam. This Kamara lad is not a footballer. Why did he take cavaleiro out kamara is fucking horrible. How is kamara a premier league player. Kamara is a disaster of a footballer.
22,1610575460.0,None,"[[""silverwar"", 1.0]]",Mauricio Pochettino finally has a silverware.. You need a silverware? Better call PSG..
