node,timestamp,split,query,summary
0,1595775035.0,None,"[[""count"", 0.7971239550102258], [""kick"", 0.6038157006478513]]",Counting down to kick-off ⏳. #MUFC #LEIMUN.
1,1595775362.0,None,"[[""prepar"", 0.8197741652794278], [""know"", 0.5726869283827047]]",Who else knows it's a must for Manchester United to win Leicester City 😍😍💪💪💪. Final preparation. #LEIMUN. Final preparations for #LEIMUN ✔️. We know what we need to do ✊. #MUFC.
2,1595776206.0,None,"[[""tackl"", 0.6492713576542847], [""maguir"", 0.6098801409119937], [""yellow"", 0.4544149181650275]]",Wetin dey do Maguire. Why e go tackle opponent like that. 9 mins: Yellow card for Maguire.. #MUFC #LEIMUN. My stream is 2 minutes late. Maguire getting a yellow for a needless tackle. Too stupid for £80 million. Maguire why would you make that tackle????
3,1595776314.0,None,"[[""rashford"", 1.0]]","Rashford can pass. Rashford’s long balls are getting better every game. 3 sexy assists robbed. Brilliant ball in from Rashford, and Greenwood gets between the CBs, but the kid heads over. Rashford can ping a ball man icl. What a ball by rashford. That cross from Rashford 🔥🔥."
4,1595776515.0,None,"[[""matic"", 1.0]]",Poor pass from Matic. What a pass from Matic!! 😡. You cannot give away ball like that Matic #LEIMUN. Matic stop being such a fucking gimp and play the ball quicker. You don’t pass square next to your penalty area. Didn’t they teach Matic that? #MUFC. Baaaaaaaaall matic 😂.
5,1595777159.0,None,"[[""gea"", 0.9437539359483621], [""iheanacho"", 0.2046883302010586], [""save"", 0.1896077132430082], [""score"", 0.1774263535674293]]",That was a goal if not for luck... You gotta focus de gea. De gea doing his best to lose us UCL. De gea needs to wake the fuck up. De Gea needs the season to end more than any other player. Fuck me De Gea doesn’t half make me nervous. Nah de gea needs to be sold. for free.
6,1595777325.0,None,"[[""rashford"", 1.0]]",Rashford dey ball abeg😊😊. Rashford playing weird passes really ???? Rashford should stop this stupid long forward passes.. Ah ahn😒. Rashford should quit with the 30yrds pass already! That’s not why you are there. Rashford needs to fix up. So many misplaced passes.
7,1595777573.0,None,"[[""pogba"", 0.7713994197235777], [""offsid"", 0.4195128059375493], [""auba"", 0.3402874754187321], [""vardi"", 0.21565271475092004], [""pass"", 0.18788338147490277], [""goal"", 0.17705964126189758]]","If Bruno wasn't offside, that would have been some goal. What a pass from Pogba! Assnal 3?? Auba 2 goals?? God please don’t allow vardy hear oo. 3 possibility of goals: Pogba-Fernandes connection. Martial - Rashford connection. Greenwood-needs-no connection."
8,1595777728.0,None,"[[""aubameyang"", 0.6745436801707436], [""golden"", 0.41095621379261604], [""boot"", 0.393596770453589], [""find"", 0.3856431479930476], [""auba"", 0.2105602878191389], [""need"", 0.16772335488829704]]",Aubameyang go do then Vardy just go start dey score is this la? United Nyame🙏🏻. I need 2 more for Auba. And Vardy not to score but Leicester to win lmaoooo. Don't let Vardy find out Aubameyang needs one more goal to match him for the Golden boot.
9,1595777826.0,None,"[[""aubameyang"", 1.0]]",Aubameyang needs one more goal to be level with Vardy and might win or become joint top scorer of the league.. Don't let Vardy find out Aubameyang needs one more goal to match him for the Golden boot.
10,1595778151.0,None,"[[""rashford"", 1.0]]",Rashford should be scoring that. That would have been a goal if it was Greenwood. Damn rashford. Rashford letting down Pogba there. A beautiful assist wasted hm. Thought that was a certain goal for rashford then. Fam rashford that has to be a goal.
11,1595778537.0,None,"[[""half"", 1.0]]","Chelsea scored just before half time looool Leicester gonna go all out in the second half. Can we sell Rashford to Arsenal in this first half? Infuriating, nail-biting, nerve-wracking 1st half, not sure how my heart will handle the 2nd... #LEIMUN."
12,1595778960.0,None,"[[""reaction"", 1.0]]","Come on Leicester!!! Need Leicester City to score, just want to see the Man Utd fans reaction!!! #LEIMUN."
13,1595779146.0,None,"[[""vardi"", 1.0]]",Jamie Vardy to his teammates when he realises Aubameyang is 1 goal behind him. Vardy pls score na. Vardy abeg score o. I'm just seeing Vardy's goal again United on the League win season. God please it should happen again😂 for ma sanity. Vardy jazz up I need goals in this match.
14,1595779279.0,None,"[[""second"", 1.0]]","Leicester vs Man Utd go mad for second half. Chelsea is leading so I watching #LEIMUN in the second half! come on Leicester. Leicester would go all out this second half, we can take advantage of that #MUN #LEIMUN. My team need to come out like this second half #LEIMUN."
15,1595779453.0,None,"[[""rt"", 0.8407247275440969], [""vardi"", 0.38799428021382537], [""shout"", 0.3776802497050377]]",Vardy asking for a cheeky pen because auba is only a goal behind now 🤔🤔. If Martial scores I’ll shout everyone out who RTs😼🙏🏻. Vardy ein goal no come yet. OMG VARDY WHAT A GOAL 😭 DE GEA IS FINISHED. Leicester pls 🙏🙏 but don’t let vardy score I beg.
16,1595779558.0,None,"[[""martial"", 0.5654994562697546], [""pass"", 0.5616590219992792], [""touch"", 0.4540441658105088], [""ball"", 0.39823787295894436]]",Beautiful ball by Matic. What a pass that is from Matic into Martial. Martial goes down under pressure but never a penalty there. Martial too many touches bro 😭. Martial a try put the ball on his right foot again. Martial always gets ball under his feet i don’t understand.
