node,timestamp,split,query,summary
0,1623502464.0,None,"[[""saturday"", 1.0]]",A day of football. The way saturdays should be Euro 2020. Saturday with football!!!🤩🤩. EURO 2020.
1,1623502774.0,None,"[[""prepar"", 1.0]]",Final preparations ahead of #WALSUI ✅ EURO 2020.
2,1623502953.0,None,"[[""matchday"", 1.0]]","⚽️ Here we go! ℹ️ Group A, matchday. 🏴󠁧󠁢󠁷󠁬󠁳󠁿🆚🇨🇭 Who's winning this? EURO 2020. ⚽️ Here we go! ℹ️ Group A, matchday 1. 🏴󠁧󠁢󠁷󠁬󠁳󠁿🆚🇨🇭 Who's winning this? EURO 2020."
3,1623503870.0,None,"[[""cross"", 1.0]]","Great cross from Dan James! EURO 2020. Wales cross goes off for a throw in. Robbie Savage, ""What a cross from the wales player."" #WALSUI EURO 2020. Shaqiri lost all his creativity all he does is crossing the ball, klopp is so ill. Rodriguez doesn’t half have a cross on him."
4,1623504274.0,None,"[[""ben"", 0.7369583635442924], [""davi"", 0.6759381409582673]]","Ben Davies giving the ball away, what a surprise 😂. Ben davies still giving the ball away 😹😹😹 some players never change lol. Ben Davies giving the ball away....🙄 #wal."
5,1623504446.0,None,"[[""xhaka"", 1.0]]",You just know Xhaka is scoring a thunderbastard in this game. Granit Xhaka is always shooting without scoring. Fraud. Xhaka’s going to score a banger at some point #SUI. Xhaka is scoring a screamer today i can feel it. Granit Xhaka is in mood for a long range goal. EURO 2020.
6,1623504776.0,None,"[[""bale"", 0.5870736469885839], [""yellow"", 0.5688196020047649], [""foul"", 0.3271965767226238], [""cross"", 0.28910529259024764], [""schar"", 0.268549395565422], [""red"", 0.26273664667384017]]",Good tackle that from Schar. Dan James making a meal of it. EURO 2020. Bit of a weird tactical foul in Bale free kick range tbh. First Yellow card of the game and it is not Xhaka. Suuuuuiiii🙌. They just watch that Bale nice cross like it was a shooting star.
7,1623505692.0,None,"[[""seferov"", 0.7630237784518815], [""pen"", 0.36612561799450255], [""penalti"", 0.21205004266420052], [""half"", 0.20259255637579798], [""striker"", 0.1968714253783667], [""embolo"", 0.19258043984525208], [""goal"", 0.1793828858029706], [""take"", 0.1769972415081346], [""chanc"", 0.17120363145796644], [""season"", 0.17051472161077882]]",How many goals did they say seferovic scored this season? Embolo shouldve gotten a retrospective penalty there after seferovic missed. Ffs Seferovic... Embolo might as well have had his shirt completely torn off there. Should've gone down for the pen.
8,1623505825.0,None,"[[""halv"", 0.3988357819350072], [""dull"", 0.3988357819350072], [""half"", 0.3988357819350072], [""touch"", 0.3856158841221825], [""anoth"", 0.3762354403967268], [""penalti"", 0.3429153524983003], [""honest"", 0.33903746322197087]]","Embolo honest there, but if he goes down he wins a stonewall penalty? Go down everyday for me. #SUI. That was a long 4 halves of football #WALSUI. First half #WALSUI. I hope to see goal in 2nd half! Once again another dull game of football so far EURO 2020 Euros 2021."
9,1623506872.0,None,"[[""embolo"", 0.813322089682946], [""defend"", 0.3954587030451623], [""save"", 0.28151577816417755], [""goal"", 0.24275542624158708], [""yellow"", 0.14821987433284237], [""class"", 0.14821987433284237]]",Embolo! Turns between the defenders and lashes one on target - well-saved by Ward. Embolo been absolutely class. Goal now to top it off. Awful defending from Roberts more focused on wrestling Embolo than doing his job and Embolo just doesn’t miss from there.
10,1623506970.0,None,"[[""embolo"", 0.7945059660520759], [""lead"", 0.42939508026272133], [""corner"", 0.42939508026272133]]",Embolo has started the 2nd half like a man on a mission. 1-0 Embolo. Been coming all day long from a corner. Embolo’s gonna have his second “breakout” Euro’s in five years. Embolo takes the lead for Switzerland!. 🏴󠁧󠁢󠁷󠁬󠁳󠁿 0-1 🇨🇭. #WALSUI.
