node,timestamp,split,query,summary
0,1617477890.0,None,"[[""ynwa"", 0.6050057110161418], [""root"", 0.6050057110161418], [""link"", 0.5176255203095239]]",Copa Del Rey final in 5 minutes?! YNWA but I’m out 👊🏻. Streaming link to the copa del Rey final please 🛐🛐. Copa final.. Rooting for a Athletic club win. ✅.
1,1617478217.0,None,"[[""believ"", 0.7071067811865475], [""delay"", 0.7071067811865475]]",Cab't believe that the Real Sociedad - Athletic Bilbao Copa del Rey final is not being covered on British TV. Can't believe the Copa del Rey final isn't on UK TV. WE ARE OFF!!! The delayed 2020 Copa del Rey Final. Athletic Club v Real Sociedad.
2,1617478338.0,None,"[[""let"", 0.6764608318913068], [""support"", 0.360367090821636], [""instead"", 0.360367090821636], [""fuck"", 0.3124188759814496], [""bad"", 0.3124188759814496], [""sociedad"", 0.29573764468426755]]",Both teams so bad might fuck around and watch the copa del rey final. Who are we supporting in tonight's Copa Del Rey final? Athletic Bilbao or Real Sociedad?? Let me go and watch last year's Copa Del Rey final instead. Let’s see how Bilbao does during this final.
3,1617478495.0,None,"[[""today"", 1.0]]",Oh its copa del rey finale today 😳.
4,1617478678.0,None,"[[""run"", 0.47388311346379997], [""get"", 0.47388311346379997], [""hero"", 0.4709512593821664], [""fifa"", 0.41460087602566026], [""card"", 0.3964601044655274]]","Will the hero of the copa del rey final being played tonight get a card in fifa 20? The 2019-2020 Copa Del Rey final is up and running. It's the Basque Derby. Athletic Bilbao Vs Real Sociedad. Bilbao vs Sociedad Copa Del Rey Final, let’s get it!"
5,1617478795.0,None,"[[""basquecountri"", 0.3662123308935636], [""sevil"", 0.3662123308935636], [""ironi"", 0.3662123308935636], [""see"", 0.3662123308935636], [""piss"", 0.35192341219988305], [""mud"", 0.3470663893170455], [""inshallah"", 0.3470663893170455], [""lol"", 0.3143149210019497]]",Sociedad to beat Bilbao Inshallah. Them they lose against us again. 2 cup finals in the mud. 🙏🏾. Let’s see how Bilbao does during this final. Loool its absolutely pissing down in the Copa del Rey final now 😂.
6,1617479050.0,None,"[[""postpon"", 0.7790368115230177], [""kick"", 0.6269781864563152]]",Athletic Club and Real Sociedad have kicked off the postponed 2020 Copa del Rey final 🙏.
7,1617479217.0,None,"[[""channel"", 0.6231060036231773], [""door"", 0.6016560649865983], [""behind"", 0.4997488246245257]]",Such a shame the Copa del Rey final has to be behind closed doors. What an occasion it would have been. What channel is the Copa Del Rey final on?
8,1617479311.0,None,"[[""3rd"", 0.7299443930062269], [""book"", 0.4086419452885763], [""fuck"", 0.4086419452885763], [""around"", 0.36497219650311336]]","One for the history books. Athletic Club v Real Sociedad in the Copa Del Rey final, Saturday 3rd April 2021. Sid Lowe. What if Athletic Bilbao fuck around and win both finals?? 🤔🤔🏃🏃🏃🏃."
9,1617479544.0,None,"[[""aduriz"", 0.3664146136378388], [""bang"", 0.3664146136378388], [""ill"", 0.3664146136378388], [""hell"", 0.3664146136378388], [""televis"", 0.3664146136378388], [""boi"", 0.35884869471572917], [""pain"", 0.3205001293496342], [""fyi"", 0.3117834760708974]]","This Copa del Rey final is missing Aduriz. I really can't find the Copa Del Rey final on TV boi, pain. If Athletic Bilbao win I’ll get bang on it. Copa Del Rey final only being televised in USA like what the hell is the point in that."
10,1617479724.0,None,"[[""espn"", 0.4488115084494194], [""neutral"", 0.4488115084494194], [""excit"", 0.4488115084494194], [""cdr"", 0.4448059631176668], [""gonna"", 0.4448059631176668]]","Real Sociedad gonna win CDR tonight. ESPN+ Help What's going on with the Copa Del Rey final? Why isn't it streaming? Some exciting football in this Copa Del Rey final 🇪🇸 As a neutral, this is a very good game 😋👌."
11,1617479892.0,None,"[[""highlight"", 0.47591611764541397], [""subhuman"", 0.47591611764541397], [""win"", 0.45258242631476564], [""dribbl"", 0.4373848737265714], [""today"", 0.3884215719509714]]",Athletic Club - Real Sociedad. Final Copa del Rey 2020. Best highlights 💫.. Isak 🥵🔥. Man can dribble too... Copa Del Rey Final. Sociedad should win the Copa final today. Subhumans in Bilbao. Final Copa Del Rey. I don’t really mind who wins but would prefer Sociedad.
12,1617480305.0,None,"[[""month"", 0.525523072813749], [""amen"", 0.525523072813749], [""play"", 0.4837242636011468], [""wanna"", 0.46223569386657953]]",I wanna watch arsenal vs liverpool and Real Sociedad vs Bilbao but I'm playing weekend league 😣. Bilbao playing two copa del rey finals in a month. What if they win both..... Bilbao to lose both finals. Amen. 🙏.
13,1617480655.0,None,"[[""lose"", 0.46849915902334466], [""announc"", 0.46849915902334466], [""merino"", 0.46849915902334466], [""need"", 0.43125111246165665], [""everyth"", 0.39439585695572393]]",Need Bilbao to lose both finals. This ESPN copa del rey announcer sounds like he's announcing golf not football 🥱. Mikel merino wins everything.
14,1617481223.0,None,"[[""current"", 0.7167315285561111], [""knot"", 0.6973492066200553]]",We are knotted at 0-0 at HT of the 2020 Copa Del Rey final between Athletic Club Real Sociedad 👀. Who takes the 🏆?. The last year Copa Del Rey final is currently being played?🥺🥺.
15,1617481910.0,None,"[[""half"", 1.0]]",Half-time. Athletic Club 0-0 Real Sociedad. Copa Del Rey Final.
16,1617482273.0,None,"[[""still"", 1.0]]","Second half of the 2020 Copa del Rey final getting underway. Still goalless between Athletic and Real Sociedad. If Sociedad win, surely Ødegaard still gets his medal right??"
17,1617483044.0,None,"[[""red"", 0.8545568844847345], [""inigo"", 0.31367285050038857], [""merino"", 0.29847023152551977], [""pass"", 0.28680550017704914]]","Penalty La Real! What a pass by Mikel Merino! Inigo takes out Portu, and is sent off! PENALTY FOR LA REAL. RED FOR INIGO MARTINEZ. Pen for me - and then has to be red. What a pass by Merino tho! Bilbao Red and la real penalty. Pen for Sociedad and a red card for Martinez. Scenes."
18,1617483268.0,None,"[[""pen"", 0.4716992096820853], [""goal"", 0.46122956356766365], [""penalti"", 0.4541043053640995], [""watch"", 0.4284874759304443], [""oyarzab"", 0.4182761146623413]]","Time to watch the Copa Del Rey final. 📸 - Penalty Real Sociedad, in the Copa del Rey Final vs Athletic Bilbao.. GOAL FOR LA REAL. OYARZABAL PEN. Goal Sociedad. 1-0. Mikel Oyarzabal back at scoring his penalties... and it's maybe the most important one he's ever scored!"
19,1617483368.0,None,"[[""oryazab"", 0.6706634644207811], [""convert"", 0.5200169014212441], [""lead"", 0.3567689930358242], [""oyarzab"", 0.3268157709160248], [""rescind"", 0.15116262305234748], [""yellow"", 0.15116262305234748]]",Oryazabal (pen) 1-0 Copa Del Rey and some dart music rings in the background 😂. Oyarzabal has more final goals than Thierry Henry. Goal. Real Sociedad lead 1-0. 1-0 Real Sociedad. Oryazabal converts the penalty and gives them the lead in the final!.
20,1617483593.0,None,"[[""foul"", 0.3111769306314066], [""enjoy"", 0.3111769306314066], [""averag"", 0.3111769306314066], [""chilean"", 0.3111769306314066], [""strongest"", 0.3111769306314066], [""stink"", 0.3111769306314066], [""haram"", 0.2943096768446993], [""dem"", 0.2943096768446993], [""lmao"", 0.2943096768446993], [""suffer"", 0.2862129404341682], [""anoth"", 0.277922834851032]]",... Another foul? Come on Athletic Bilbao! Strongest copa del rey fan // average Chilean Premier League enjoyer. Lmao na Barca go suffer for this thing if Bilbao loses here oo 😭😭💔. Na haram football dem go play for us. David silva stinking up in this copa del rey final.
21,1617483708.0,None,"[[""gra"", 0.7071067811865475], [""captain"", 0.7071067811865475]]",Athletic Bilbao should better win now. They should not come and be using stupid gra gra for Barca next week. Oyarzabal scoring in the Copa final as captain? This is massive.
22,1617483803.0,None,"[[""kit"", 0.4646777997124211], [""number"", 0.4646777997124211], [""gold"", 0.4646777997124211], [""massiv"", 0.4321540310778755], [""cri"", 0.40677576228975565]]",Oyarzabal scoring in the Copa final as captain? This is massive. I’m crying Athletic are playing the 2020 and 2021 Copa del Rey finals a week apart and are gonna lose them both 😭. Real Sociedad are winning because they have gold numbering on their kits and Athletic don't.
23,1617484096.0,None,"[[""month"", 0.6126635869917842], [""lose"", 0.5623840612155251], [""win"", 0.5553084700102215]]",Bilbao about to lose 2 finals in the same month. Bilbao currently losing the copa Del Rey final of last season to real sociedad. How does this sound ? 😂😂. Real sociedad winning.
24,1617484211.0,None,"[[""found"", 0.7071067811865475], [""fun"", 0.7071067811865475]]",Finally found a stream for the copa del rey final. Having fun watching the copa del rey final.
25,1617484422.0,None,"[[""foul"", 1.0]]",28 fouls in the copa del rey final 💀.
26,1617484604.0,None,"[[""lead"", 0.5], [""1988"", 0.5], [""david"", 0.5], [""silva"", 0.5]]","Are we sure there's really no fans inside La Cartuja? Quite the racket with ten minutes to go. Real Sociedad lead 1-0 Final Copa Del Rey. David Silva leading Sociedad to first trophy since 1988, scenes."
27,1617484824.0,None,"[[""lose"", 1.0]]",Bilbao currently losing the copa Del Rey final of last season to real sociedad. How does this sound ? 😂😂. Bilbao losing both Copa finals ahhhh.
28,1617484934.0,None,"[[""play"", 0.4237145436438605], [""week"", 0.4237145436438605], [""space"", 0.4237145436438605], [""month"", 0.40517500553040653], [""omoo"", 0.39895686033383926], [""man"", 0.3715704441960173]]",They are playing last years Copa Del Rey final in April. Athletic Bilbao is playing in both. Omoo. Bilbao losing two finals in a month. You cannot keep playing Haram football and be expecting God don catch una😝😝😝. Athletic Bilbao could lose 2 CDR finals in the space of 2 weeks?
29,1617485060.0,None,"[[""penyarzab"", 0.6763832829914935], [""cours"", 0.6041012072244886], [""penalti"", 0.30205070028094816], [""dive"", 0.2938243699548312]]",Real Sociedad have been better but they love a dive over absolutely anything and everything eh. Of course Sociedad are winning and from a penalty from Penyarzabal. LA REAL LEAD IN THE CUP FINAL! OYARZABAL'S PENALTY!.
30,1617485205.0,None,"[[""inshallah"", 0.45034075008286606], [""hold"", 0.45034075008286606], [""cara"", 0.4182931733745534], [""mode"", 0.3740629798844506], [""clear"", 0.3740629798844506], [""anoth"", 0.3735920407313024]]","Another Athletic Club Sub. Yuri Berchiche OFF and Ander Cara ON. Sociedad going into clear and inshallah mode, I hope this lead holds 😬."
31,1617485413.0,None,"[[""congrat"", 0.7013194910621423], [""deserv"", 0.41156245838525235], [""david"", 0.41156245838525235], [""silva"", 0.41156245838525235]]",Well deserved Copa win for Real Sociedad 👏🏼. David Silva comes into this team and they start seeing out finals and close games? lol not a coincidence. 💙🏆 Congrats to David Silva on winning the Copa Del Rey with Real Sociedad Fútbol.. David Silva still winning trophies.
32,1617485509.0,None,"[[""look"", 0.6247147847416321], [""2020"", 0.5907276930086062], [""place"", 0.5106586241687752]]","David Silva has won the 2020 League Cup Final and the 2020 Copa del Rey Final, with the fixtures taking place 13 months apart. Real Sociedad are champions. Look at the players. Just look what it means."
