node,timestamp,split,query,summary
0,1624107647.0,None,"[[""happen"", 0.5701922540972791], [""matchday"", 0.48423721293236854], [""kick"", 0.47207373301313443], [""budapest"", 0.4664134491821601]]","EURO 2020 Kick-off in Budapest! Hungary Vs France ⚽. What are your predictions? ⚽️ KICK-OFF! 🇭🇺🆚🇫🇷. ℹ️ Group F, matchday 2. 🤔 What will happen in Budapest? EURO 2020. Kick-off ⚽️ Here. We go. Allez Les Bleus!!! #HUNFRA Fiersdetre Bleus."
1,1624108225.0,None,"[[""yellow"", 0.8135778477126216], [""pavard"", 0.5814560049662384]]","PAVARD YELLOW ! 🤦‍♂️. EURO 2020 #HUNFRA reference should give 2 yellow cards - Varane and Pavard! PAVARD YELLOW SIUUUU. Pavard’s looking to get a red card. Pavard is gonna get cooked after that yellow on that flank. 📸 - Pavard on a yellow card already, within 10 minutes.."
2,1624108426.0,None,"[[""offsid"", 0.890075102199083], [""griezmann"", 0.34513314413987584], [""save"", 0.29774053345390405]]",Griezmann is lucky he’s offside how the fuck did he miss😂😂😂😂😂. Griezmann eh score that wtf lmao even if it offside. Offside but Griezmann has to find the back of the net there. Griezmann’s blushes saved by that offside because that was an absolutely terrible finish.
3,1624108555.0,None,"[[""kant"", 0.632680144500135], [""dign"", 0.49864588718996833], [""mbapp"", 0.40020487512213837], [""world"", 0.32980859920291], [""cross"", 0.2329562562142384], [""score"", 0.1669186701802758]]",Kante what a run! Hand him the ball on d'or asap! Grieman is crazy... so this is what Braça fans face 😂 that pass from Kante. Kante is the best player in the world at the moment. No cap. Digne's crosses are so good. Mbappe should have done better with that.
4,1624108657.0,None,"[[""mbapp"", 1.0]]",Mbappe with another free header wa o. Mbappe ffs. Digne and Mbappe link up. 8 yards out free header 200 mill mbappe get fucked. Quase gol do mbappe. We’ve only made one 100m+ signing in 7 years ffs. Wake up Real Madrid C.F. sancho haaland and mbappe are all available.
5,1624109207.0,None,"[[""mbapp"", 0.7500085888527982], [""freekick"", 0.44877933127783853], [""free"", 0.42832678065585933], [""kick"", 0.22939136304106453]]",Why is mbappe taking free kicks? 😭. Why did mbappe take it shud have been griezmann. Get pogna on freekicks why is mbappe taking them. That must’ve hurt bro getting a shot from mbappe to the face😭😭😭. Can these Hungary players stop getting shot in the head I wanna watch Mbappe.
6,1624109441.0,None,"[[""benzema"", 0.8411141180848294], [""giroud"", 0.3191332505095261], [""mbapp"", 0.1915190840178606], [""player"", 0.18972281153380469], [""striker"", 0.18877371805370324], [""ff"", 0.18509682506028932], [""piss"", 0.16277749197041408], [""class"", 0.1470164645571202]]","Smh look at this pipe of a striker called benzema. Benzema isn’t even half the player giroud is for France. Benzema and mbappe doing everything they can to not score, just need 1 goal each ffs. Benzema is just running and playing passes into the Hungary players man😂😂😂."
7,1624109540.0,None,"[[""target"", 0.5987560600157869], [""mbapp"", 0.4699375314923442], [""harri"", 0.44564695446122715], [""shot"", 0.3574543728915875], [""hasnt"", 0.19145967348714302], [""reason"", 0.17246639044886203], [""benzema"", 0.16695387974858591]]","Mbappe hasn’t downloaded free kick juice yet. He’s getting excited🤣. Master class final pass from Mbappe, very poor delivery from Benzema.. EURO 2020. Benzema shot wide, how did he miss that? 🇫🇷. Mbappe is the best footballer in the world man."
8,1624109755.0,None,"[[""peep"", 0.6661294607901976], [""creativ"", 0.5533285358083833], [""bring"", 0.24330418160149686], [""win"", 0.2060037848174704], [""giroud"", 0.20453972158797135], [""poor"", 0.20050362158697177], [""pitch"", 0.18695646145285155], [""touch"", 0.17740820253828854]]","Mbappe is winning atleast 5 ballon d'Ors. France are winning rn if Giroud is on the pitch. Bring Lemar or Tolisso on for Rabiot, he's not a footballer. 📸 - Another good chance for France to score but Benzema with a poor pass.. Peep the touch and creativity from Mbappe, class.."
9,1624109911.0,None,"[[""pogba"", 1.0]]","Pogba is balling again. Get Pogba into this game.... Griezmann and Rabiot holding the ball too long. Pogba doesn't know when to pass. Nothing concern Kante for this game, just stand behind Pogba and Greizman, collect loose ball, give them back and rest. Kante Nwa Jesus."
10,1624110206.0,None,"[[""major"", 0.5526948892679924], [""futur"", 0.5080762243037846], [""move"", 0.484492336119505], [""soccer"", 0.4490591118279603]]",Griezmann wants an Major League Soccer move in the future 👀.
