node,timestamp,split,query,summary
0,1618070570.0,None,"[[""begun"", 0.7797767059378813], [""let"", 0.6260577360568809]]","Forza Milan man, let’s fucking win for once. Parma Milan has begun. Let's do this! 👊. Sempre Milan. PUMA Football."
1,1618070897.0,None,"[[""kessi"", 0.6184360497542981], [""shot"", 0.564915364488715], [""corner"", 0.546266860910381]]","Come on Milan native, anibale fly and potters corner 🤞🤞🤞🐎 Grand National 2021. Powerful shot from Kessie. First shot on goal to Kessie, corner. Kessie shot is palmed for a corner kick. Good shot from Kessie, needed a finger tip save."
2,1618071008.0,None,"[[""rebic"", 0.726599324831469], [""gol"", 0.3632996624157345], [""lead"", 0.3632996624157345], [""goal"", 0.33646441890147377], [""net"", 0.3080127051681039]]",I just need a goal from AC Milan and this slip booms. COME ON BOYS AC Milan 🤲🏽🕯. Rebic gives Milan the lead with a belter. Yes this what I’m talking about. Let’s wound Parma. Milan leads 1-0. What a goal by Rebic!!! 🔥 🔥 🔥. Rebic !!!. O foh si ! 😂. The net still dey shake !
3,1618071249.0,None,"[[""calhanoglu"", 0.43632480957066855], [""postag"", 0.43632480957066855], [""stamp"", 0.43632480957066855], [""pick"", 0.39312716619576477], [""beauti"", 0.3800944211490498], [""free"", 0.360334905150217]]",11' Ibrahimovic nearlr gets on the end of Calhanoglu's free-kick. Good start by Milan.. Parma Milan 0-1. 11' Ibrahimovic nearly gets on the end of Calhanoglu's free-kick. Good start by Milan.. Parma Milan 0-1. 🇭🇷 Rebic picks out the postage stamp with a beautiful shot 🚀..
4,1618071705.0,None,"[[""gervinho"", 1.0]]",Can’t stand watching Gervinho play. Has tunnel vision every time he receives the ball. Gervinho still dey play ball.
5,1618071876.0,None,"[[""beauti"", 0.7385639805440212], [""thing"", 0.674183392440789]]",️⚽️ Rebic's goal again. A thing of beauty. 📹 👎🏼19..
6,1618072019.0,None,"[[""fuckin"", 1.0]]",Parma I need one fuckiiiiiiin goal.
7,1618073131.0,None,"[[""kessi"", 1.0]]",GOOOOAL KESSIE. Goal kessie #forzamilan Parma Milan. Gotta love the church bells rolling in the background before Kessie’s goal. Goal! Parma-Milan 0-2 Kessie! Great buildup from Milan as Theo Hernandez lays it off to Kessie who rolls it into the corner. GOOOOAAAAAAL KESSIE 2-0.
8,1618073236.0,None,"[[""time"", 0.7430347405545309], [""theo"", 0.42681230865307707], [""half"", 0.37342824250175766], [""pass"", 0.3553617526033717]]",Theo to Ibrah to Theo for Kessie goal. This is great football. Kessie! Lovely passing. Keep going lads. Half time. Parma 0-2 Milan. Clinical. Zlatan's passing and Bennacer's return is just ❤🔥. Milan are cruising as Kessie makes it 2-0 just before half-time!.
9,1618073344.0,None,"[[""corner"", 1.0]]",Herh Milan vs Parma. First half 5 corners. 30th min : 2:2 corners. 45th min : 2:2 corners still. Bet spoil Herh. Like I wan mad.
10,1618073502.0,None,"[[""great"", 0.8049509898162938], [""magic"", 0.44917585154375844], [""pioli"", 0.3876789372453816]]",Kalalu needs to work on technique and passing. Can be a quality RB if he does. Doing a great job covering Gervinho defensively so far. Milan playing great football and scoring in the first half. Maybe Piolis magic is back..?.
11,1618073739.0,None,"[[""boy"", 0.7183490448432484], [""work"", 0.6956828658036596]]","Work to do in the second half - Don't give up, boys! 👊🟡🔵. Parma Milan Forza Parma."
12,1618074293.0,None,"[[""second"", 1.0]]","Need to see our ballers, Tonali and Hauge in the second half. Saelemaekers got 2 players booked in 90 seconds lmao. ⏱️ 45' Second Half! Forza Milan. 46' Second half is underway! Parma Milan 0-2. Work to do in the second half - Don't give up, boys! 👊🟡🔵. Parma Milan Forza Parma."
13,1618074495.0,None,"[[""zaha"", 0.3831503439933774], [""dude"", 0.3831503439933774], [""dislik"", 0.3831503439933774], [""sachet"", 0.3831503439933774], [""cocki"", 0.3831503439933774], [""omo"", 0.3831503439933774], [""talent"", 0.34521715395753333]]","Omooo, I really dislike this Zaha dude. Very cocky player. Sachet Ibrahimovic with very little talent."
14,1618074636.0,None,"[[""conti"", 0.5343792388394358], [""wouldv"", 0.5343792388394358], [""score"", 0.4688748630155528], [""donnarumma"", 0.45720238519381856]]",Donnarumma what a save! Great save from Donnarumma! A conti goal wouldve ended me. Conti almost scored ffs. Conti scoring would've been my 8th CL. PARMA FUCK OFF HOW DIDN'T YOU SCORE. Andrea Conti almost scored againts us. Stuff of nightmares. Wouldve cried if kucka scored that.
15,1618075217.0,None,"[[""red"", 0.8677925327971434], [""card"", 0.49692667469307644]]",Ibrahimovic red card 🟥. Red Card! Ibrahimovic has seen a straight red for something he may have said to the referee. Wait why was Ibrahimovic given a red. Another red for Ibrahimovic. Needs to start acting like an old man. Ibrahimovic sees red. Switched to the Milan game.
