node,timestamp,split,query,summary
0,1593104932.0,None,"[[""offsid"", 0.777947183964151], [""xhaka"", 0.5590473217408851], [""pass"", 0.28681748729216383]]",That ball from Xhaka was 👌 shame it was offside. Saka to Nketiah goal but it was offside my heart is on fire 😭😭😭😭😭. Saka with the most offside run I've seen since 1987. Obvious offside lol but watch Xhaka get praise for that. See that pass from Xhaka there? that’s why he starts.
1,1593105059.0,None,"[[""book"", 0.8062810607150394], [""mustafi"", 0.3609506845795408], [""tierney"", 0.357723251920242], [""score"", 0.30275324848694674]]",Can we just talk about that ball from Tierney for a second. So mustafi gets booked for that but hjoberg didnt get book for stopping pepe in full flow. Refs are banter. How has mustafi got booked but not their player 🤨.
2,1593105160.0,None,"[[""want"", 0.7892201100435504], [""see"", 0.6141104281013684]]",Mustafi is still the worst defender in the league I see. Southampton win is imminent. You can see it. People are finally seeing what Xhaka offers 🤐. Liverpool want Chelsea to win. Manchester Utd want Chelsea to lose and. Arsenal dont even know what they want...
3,1593105330.0,None,"[[""injur"", 0.8075900700641491], [""saka"", 0.46562443914898555], [""knee"", 0.3619283912612761]]",I swear to jesus if saka is injured i may actually finally give up. Southampton I’m on my knees. If Saka is injured here I'm never watching football again. Saka down. Stop the league! Another Arsenal player injured?. Better be taking the piss if Saka goes off injured.
4,1593105535.0,None,"[[""take"", 0.7085784690832054], [""pass"", 0.7056320238989305]]",Our midfield has been fluent in its passes and we actually do pass forward. Xhaka is back. Why isn’t Pepe taking it. Must Ceballos touch the ball before passing it every time? The man just blew a very good chance away by taking a touch.
5,1593105643.0,None,"[[""main"", 0.46440109325774953], [""mccarthi"", 0.4366321500036398], [""tap"", 0.42553287924407895], [""event"", 0.3718253871049278], [""clearanc"", 0.22701767297606543], [""caught"", 0.21070615523536756], [""lead"", 0.14320072236609463], [""keeper"", 0.14320072236609463], [""gol"", 0.14320072236609463], [""alex"", 0.14320072236609463], [""final"", 0.1432003025931612], [""net"", 0.1286606474097865], [""empti"", 0.11734812428308998], [""striker"", 0.11458799089080511], [""sweet"", 0.10695133598243575], [""slander"", 0.10405449974504363], [""sky"", 0.10082132283921115]]","Southampton GL error leading to a goal from Arsenal striker. Giroud memories are coming back. That is so embarrassing... what is the Southampton keeper doing? Wow. McCarthy gets caught on the ball, Nketiah blocks his clearance and taps into an empty net. 1-0 to the Arsenal."
6,1593105887.0,None,"[[""bellerin"", 0.8643319952057635], [""howler"", 0.32884078687162804], [""lead"", 0.2923910545248791], [""atroci"", 0.14802692933032527], [""leagu"", 0.1417336065461997], [""spade"", 0.13153335377592776]]",Bellerin is bottom 3 right backs in the premier league. Atrocious. Bellerin why the fuck are you so shit at passing? Bellerin has been so wasteful on the ball so far. When there’s a defensive howler in the Arsenal game but it isn’t made by an Arsenal player.
7,1593105998.0,None,"[[""dubravka"", 0.4753768837517815], [""season"", 0.4486522710927083], [""eddi"", 0.4170751597566797], [""lacazett"", 0.40900662356252143], [""martin"", 0.2318365494974662], [""nketiah"", 0.2301187676908884], [""error"", 0.21608855505545344], [""enough"", 0.203892456606066], [""suffer"", 0.19110369075570394]]","Arsenal need to win this.., their fans have suffered enough! Eddie Nketiah with more away Premier League goals this evening than Lacazette has this season. Only Martin Dúbravka (5) has committed more errors leading to goals in the Premier League this season than Alex McCarthy (3)."
8,1593106091.0,None,"[[""touch"", 1.0]]","Calm down Xhaka fan boys, he’s touched the ball twice. Has Pepe touched the ball yet? Err ings that touch was dirty. Has Pepe had a single touch? Alex McCarthy appreciation tweet! 👏. The most vital of touches from Alex McCarthy to deny Aubameyang!. That touch from Ings 😍."
9,1593106248.0,None,"[[""angri"", 0.7394988490491562], [""partner"", 0.6731578212090931]]",Arsenal are winning and DT is still so fucking angry😭. Arsenal win? DT angry. Arsenal draw? DT angry. Arsenal lose? DT angry. Hotel? Trivago. Xhaka will finally get a proper midfield partner. Tears on his eyes!.
10,1593106507.0,None,"[[""half"", 0.8963576058377766], [""bellerin"", 0.32128678636427144], [""away"", 0.3054796938660377]]",Bellerin need fi guh model a lef man club Kmt. How many times has Bellerin lost the ball this half ffs. Bellerin has been awful this half I must say! Eddie Nketiah scored away against Burnley. Went on loan for half a season and came back and scored an away goal before Lacazette.
11,1593106826.0,None,"[[""worst"", 0.8673627840250278], [""someth"", 0.4976764017796634]]",This is potentially the worst half of football I’ve ever seen bellerin play 💩. No wonder Southampton have the worst home record in the league. Something about seeing arsenal win doesn’t seem right. Is Hector Bellerin the worst Right back in the Premier League ? #SOUARS.
12,1593107122.0,None,"[[""half"", 1.0]]","Saka has pocketed Valery this whole half. What a player! Would love to see Ozil on to start the second half. Its half time already, and Arsenal lead by 1 goal to nil. Arsenal need a midfielder who can get on the ball in the opposition half and make things happen."
13,1593107289.0,None,"[[""break"", 0.516953639424684], [""nketiah"", 0.40642815603124516], [""ahead"", 0.3919128599692347], [""leagu"", 0.373556148729082], [""half"", 0.3716318253130554], [""let"", 0.36922214048257346]]",Half-time in the 6pm kick-offs: - Southampton 0-1 Arsenal. - Burnley 0-0 Watford. How's everyones bets looking at the break? 🤔. If Leeds started Nketiah and kept him for the season they would have won the league by now. Bamford is half the player.
14,1593107489.0,None,"[[""take"", 0.5895709353118017], [""cohes"", 0.5711418879033333], [""flaw"", 0.5711418879033333]]",Take obafemi off. Take falery off. Djenepo and kwp on please. Or kiss this game goodbye. Southampton keeper on the take? Seems as such. We look much more cohesive with Xhaka in the midfield showing for the ball and popping it around. Important player despite his flaws.
15,1593107662.0,None,"[[""asap"", 0.8465838743234755], [""amn"", 0.36122075244966306], [""need"", 0.3333553361966], [""lead"", 0.20418014488290692]]","We need a better RB to get more out of Pepe. Arteta needs to do something about Ballerin, both in this match and the long term. Bellerin turns like tractor guy is finished AMN needs to be 1st choice RB. Eddie Nketiah gives Arsenal a 1-0 lead going in to the break 🔴."
16,1593108286.0,None,"[[""long"", 0.7820567270572533], [""shane"", 0.49025273071517267], [""second"", 0.38475906186965037]]",We need to see that Long and Ings link up now #saintsfc. Sol Campbell “a second goal for Arsenal kills the game as a contest”. Ffs shane long hattrick incoming. Shane Long coming on second half. Shane long ffs. Second half kicks off.. How does it end?. #SOUARS #SWFLive.
17,1593108434.0,None,"[[""saka"", 0.728309253965773], [""red"", 0.6852485903581409]]",Wtf injuring our player. That's a clear red for Saka. Saka sees yellow. Hopefully VAR leaves that be. That could be a red for the #Arsenal man. Should that be a red card for saka? wow. goes after the spurs player. Saka lucky not to get away with a red there 😳.
18,1593108844.0,None,"[[""touch"", 0.6303678190075211], [""aubameyang"", 0.5684766243132017], [""martinez"", 0.5286499223202137]]",Why is Aubameyang passing that. Insane touch from Aubameyang but that pass has to find a way 🤷‍♂️🤷‍♂️🤷‍♂️. What a touch that was from aubameyang. What a pass by Martinez and what a first touch by Auba. Shame that didn't end up at Nketiah's feet. What a ball by Martinez #SOUARS.
19,1593109062.0,None,"[[""ederson"", 0.7330085433537773], [""alan"", 0.6802194317794615]]",Alan Smith on Emi Martinez’s pass to Aubameyang: “Ederson at Man City would’ve been pleased with that.” [Sky] #afc.
20,1593109319.0,None,"[[""willock"", 0.969577985799197], [""lead"", 0.24478261673078858]]",Arsenal are leading Southampton 🙆‍♂️. #SOUARS willock is the worst sub to come on now. Why’s he bringing on Willock when we need a fucking goal. Willock isn’t a bad sub tbh. But for who. Pepe for willock this arteta dude is frauding a living. Willock on again ffs.
21,1593109744.0,None,"[[""tierney"", 0.4535475675295463], [""footbal"", 0.4106586739324992], [""equalis"", 0.40466425668429007], [""chelsea"", 0.3954685102053358], [""injur"", 0.3938808867725065], [""confus"", 0.3877671999350383]]","Southampton equaliser please! 🥺🤞🏼 #SOUARS. Liverpool want Chelsea to win or draw. Man u want Chelsea to lose.. Arsenal are just confuse. Come on Chelsea 💙💙. Watching Arsenal play football is 2020 summed up. If Tierney is injured again, I’m done with football."
22,1593109890.0,None,"[[""sead"", 0.84852121274823], [""willock"", 0.3497578902117981], [""see"", 0.28353866450270604], [""take"", 0.2780053875069448]]",Herh the Southampton keeper take bride 😂😂. Is this willock a footballer at all ? 🥴🥴🥴🥴. A second sub now as KT leaves the pitch... ↩️ Kieran Tierney. 🔛 Sead Kolašinac. #SOUARS 🔴⚪️ 0-1 🟡🟡 (70). Ozil taking some inspiration from niran... Happy to see arsenal winning cl.
23,1593110027.0,None,"[[""half"", 0.7676311281126608], [""lead"", 0.6242188961743337], [""six"", 0.1452350536591637]]",Oyo Redmond wanted to score right in the first half naye waaaa.😂. Southampton with six shots to Arsenal's one in the second half. Arsenal better find that second goal... This 1-0 lead odikwa risky. Arsenal are leading 0-1. at the end of this game the score will be 1-1.
24,1593110207.0,None,"[[""deni"", 0.6077942473026063], [""coast"", 0.35247394440849333], [""save"", 0.35247394440849333], [""brilliant"", 0.32381901378344446], [""cool"", 0.3143467645765857], [""danger"", 0.30705695390702453], [""south"", 0.2900927006010049]]",North London are saved #SOUARS. Mesut Ozil is trying his best to keep cool down on the south coast! ☀☂. Good save #SOUARS 1-0. Ings is so underrated. Brilliant save from Martinez tho. Brilliant save from Martinez to deny Long. Arsenal living dangerously now. 15 minutes to go.
25,1593110334.0,None,"[[""final"", 0.8999610973152877], [""conced"", 0.23852352974696334], [""want"", 0.22516374277006626], [""man"", 0.20537812396906846], [""hear"", 0.2007427812222252]]","Won't be Arsenal if we were to concede then concede the way we scored. Liverpool want Chelsea to win,Man United want man city to there is Arsenal 😂😂😂 #SOUARS. Looks like bellerin will finally be planting some trees. Things are finally turning around for my good. #Arsenal 🎵 🎶."
